n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0764,256,6,2,2,0,2048,0.0017,7518
0765,256,6,2,2,0,4096,0.0018,7525
0767,256,6,2,2,0,16384,0.0017,7138
0768,256,6,2,2,0,32768,0.0016,7154
0769,256,6,2,2,0,65536,0.0016,7085
0771,256,6,2,3,0,2048,0.0018,7987
0774,256,6,2,3,0,16384,0.0016,7064
0775,256,6,2,3,0,32768,0.0016,7071
0776,256,6,2,3,0,65536,0.0016,7637
0778,256,6,3,1,0,2048,0.0014,8201
0779,256,6,3,1,0,4096,0.0014,7610
0780,256,6,3,1,0,8192,0.0013,7463
0781,256,6,3,1,0,16384,0.0013,7527
0782,256,6,3,1,0,32768,0.0013,7101
0783,256,6,3,1,0,65536,0.0013,7524
0784,256,6,3,2,0,1024,0.0018,8008
0785,256,6,3,2,0,2048,0.0019,7833
0786,256,6,3,2,0,4096,0.0018,7974
0787,256,6,3,2,0,8192,0.0018,7401
0788,256,6,3,2,0,16384,0.0018,7074
0789,256,6,3,2,0,32768,0.0017,7440
0791,256,6,3,3,0,1024,0.0017,7793
0793,256,6,3,3,0,4096,0.0017,7684
0795,256,6,3,3,0,16384,0.0017,7036
0796,256,6,3,3,0,32768,0.0018,8067
0797,256,6,3,3,0,65536,0.0016,7124
0798,256,6,4,1,0,1024,0.0014,7988
0799,256,6,4,1,0,2048,0.0014,7909
0801,256,6,4,1,0,8192,0.0014,7701
0803,256,6,4,1,0,32768,0.0014,7370
0804,256,6,4,1,0,65536,0.0014,7569
0805,256,6,4,2,0,1024,0.0017,8295
0808,256,6,4,2,0,8192,0.0017,7644
0811,256,6,4,2,0,65536,0.0016,7515
0813,256,6,4,3,0,2048,0.0015,7484
0814,256,6,4,3,0,4096,0.0016,7526
0815,256,6,4,3,0,8192,0.0014,7301
0816,256,6,4,3,0,16384,0.0015,7087
0818,256,6,4,3,0,65536,0.0015,7212
0819,256,6,5,1,0,1024,0.0014,8146
0821,256,6,5,1,0,4096,0.0014,7656
0822,256,6,5,1,0,8192,0.0013,7188
0823,256,6,5,1,0,16384,0.0014,7552
0824,256,6,5,1,0,32768,0.0013,7506
0825,256,6,5,1,0,65536,0.0014,7546
0826,256,6,5,2,0,1024,0.0016,7862
0827,256,6,5,2,0,2048,0.0016,7609
0828,256,6,5,2,0,4096,0.0016,7736
0830,256,6,5,2,0,16384,0.0017,7191
0831,256,6,5,2,0,32768,0.0016,7656
0832,256,6,5,2,0,65536,0.0016,7413
0835,256,6,5,3,0,4096,0.0017,7865
0837,256,6,5,3,0,16384,0.0018,9320
0838,256,6,5,3,0,32768,0.0018,9306
0839,256,6,5,3,0,65536,0.0016,9337
0840,256,6,6,1,0,1024,0.0014,7679
