n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0210,1,256,2,1,1,1,0,11,0,0.000535,100,349,313,0,1
0211,1,256,2,1,1,1,0,11,1,0.000504,136,637,447,0,1
0212,1,256,2,1,1,1,0,11,2,0.000504,136,637,447,0,1
0225,1,256,2,2,1,1,0,1,0,0.000642,146,613,356,0,38
0226,1,256,2,2,1,1,0,1,1,0.000402,150,717,362,0,38
0227,1,256,2,2,1,1,0,1,2,0.000402,150,717,362,0,38
0228,1,256,2,2,1,1,0,2,0,0.000538,160,682,376,0,38
0229,1,256,2,2,1,1,0,2,1,0.000422,170,779,382,0,38
0230,1,256,2,2,1,1,0,2,2,0.000422,170,779,382,0,38
0231,1,256,2,2,1,1,0,3,0,0.000512,186,770,630,0,38
0232,1,256,2,2,1,1,0,3,1,0.000466,213,970,652,0,38
0233,1,256,2,2,1,1,0,3,2,0.000466,213,970,652,0,38
0234,1,256,2,2,1,1,0,4,0,0.000479,179,779,497,0,38
0235,1,256,2,2,1,1,0,4,1,0.000417,177,802,496,0,38
0236,1,256,2,2,1,1,0,4,2,0.000428,179,801,496,0,38
0243,1,256,2,2,1,1,0,7,0,0.000520,228,977,718,0,38
0244,1,256,2,2,1,1,0,7,1,0.000489,292,1247,834,0,38
0245,1,256,2,2,1,1,0,7,2,0.000464,291,1249,834,0,38
0246,1,256,2,2,1,1,0,8,0,0.000531,195,832,571,0,38
0247,1,256,2,2,1,1,0,8,1,0.000463,226,987,626,0,38
0248,1,256,2,2,1,1,0,8,2,0.000466,230,986,626,0,38
0255,1,256,2,2,1,1,0,11,0,0.000502,274,1056,788,0,38
0256,1,256,2,2,1,1,0,11,1,0.000493,353,1663,1022,0,38
0257,1,256,2,2,1,1,0,11,2,0.000493,353,1663,1022,0,38
0267,1,256,2,2,1,1,0,15,0,0.000562,358,1355,868,0,38
0268,1,256,2,2,1,1,0,15,1,0.000527,422,2021,1158,0,38
0269,1,256,2,2,1,1,0,15,2,0.000527,422,2021,1158,0,38
0270,1,256,2,4,1,1,0,1,0,0.000260,284,1146,613,0,44
0271,1,256,2,4,1,1,0,1,1,0.000174,289,1384,627,0,44
0272,1,256,2,4,1,1,0,1,2,0.000174,289,1384,627,0,44
0273,1,256,2,4,1,1,0,2,0,0.000219,316,1235,654,0,44
0274,1,256,2,4,1,1,0,2,1,0.000160,340,1461,667,0,44
0275,1,256,2,4,1,1,0,2,2,0.000160,340,1461,667,0,44
0279,1,256,2,4,1,1,0,4,0,0.000207,337,1479,891,0,44
0280,1,256,2,4,1,1,0,4,1,0.000188,350,1515,878,0,44
0281,1,256,2,4,1,1,0,4,2,0.000188,350,1515,878,0,44
0282,1,256,2,4,1,1,0,5,0,0.000195,445,1685,1254,0,44
0283,1,256,2,4,1,1,0,5,1,0.000213,502,2166,1419,0,44
0284,1,256,2,4,1,1,0,5,2,0.000213,502,2166,1419,0,44
0288,1,256,2,4,1,1,0,7,0,0.000212,483,1878,1342,0,44
0289,1,256,2,4,1,1,0,7,1,0.000225,573,2419,1571,0,44
0290,1,256,2,4,1,1,0,7,2,0.000225,573,2419,1571,0,44
0291,1,256,2,4,1,1,0,8,0,0.000209,379,1618,1039,0,44
0292,1,256,2,4,1,1,0,8,1,0.000201,391,1779,1151,0,44
0293,1,256,2,4,1,1,0,8,2,0.000201,391,1779,1151,0,44
0306,1,256,2,4,1,1,0,13,0,0.000205,593,2197,1562,0,44
0307,1,256,2,4,1,1,0,13,1,0.000224,745,3564,2035,0,44
0308,1,256,2,4,1,1,0,13,2,0.000224,745,3564,2035,0,44
0312,1,256,2,4,1,1,0,15,0,0.000254,671,2598,1642,0,44
0313,1,256,2,4,1,1,0,15,1,0.000230,815,3947,2187,0,44
0314,1,256,2,4,1,1,0,15,2,0.000230,815,3947,2187,0,44
0315,1,256,2,8,1,1,0,1,0,0.000139,481,2065,956,0,56
