n,knob_HIST_SIZE,knob_NUM_HIST,knob_UNROLL_LLM,knob_UNROLL_LP,knob_I_B,knob_DATA_BLOCK,obj1,obj2
214,256,3,1,3,0,2048,0.002,7868
215,256,3,1,3,0,16384,0.0019,7059
216,256,3,1,3,0,32768,0.002,7104
217,256,3,1,3,0,65536,0.0019,7135
218,256,3,2,1,0,1024,0.0019,7737
219,256,3,2,1,0,2048,0.0021,8025
220,256,3,2,1,0,4096,0.0021,7740
221,256,3,2,1,0,32768,0.002,7504
222,256,3,2,1,0,65536,0.002,7495
223,256,3,2,2,0,1024,0.0017,8050
224,256,3,2,2,0,2048,0.0017,7518
225,256,3,2,2,0,4096,0.0018,7525
226,256,3,2,2,0,16384,0.0017,7138
227,256,3,2,2,0,32768,0.0016,7154
228,256,3,2,3,0,1024,0.0016,8509
229,256,3,2,3,0,32768,0.0016,7071
230,256,3,3,1,0,2048,0.0014,8201
231,256,3,3,1,0,4096,0.0014,7610
232,256,3,3,1,0,8192,0.0013,7463
233,256,3,3,1,0,16384,0.0013,7527
234,256,3,3,1,0,32768,0.0013,7101
235,256,3,3,1,0,65536,0.0013,7524
236,256,3,3,2,0,2048,0.0019,7833
237,256,3,3,2,0,4096,0.0018,7974
238,256,3,3,2,0,8192,0.0018,7401
239,256,3,3,2,0,16384,0.0018,7074
240,256,3,3,2,0,32768,0.0017,7440
241,256,3,3,3,0,1024,0.0017,7793
242,256,3,3,3,0,4096,0.0017,7684
243,256,3,3,3,0,65536,0.0016,7124
244,256,3,4,1,0,1024,0.0014,7988
245,256,3,4,1,0,2048,0.0014,7909
246,256,3,4,1,0,4096,0.0014,7747
247,256,3,4,1,0,65536,0.0014,7569
248,256,3,4,2,0,1024,0.0017,8295
249,256,3,4,2,0,8192,0.0017,7644
250,256,3,4,2,0,65536,0.0016,7515
251,256,3,4,3,0,8192,0.0014,7301
252,256,3,4,3,0,65536,0.0015,7212
253,256,3,5,1,0,1024,0.0014,8146
254,256,3,5,1,0,4096,0.0014,7656
255,256,3,5,1,0,8192,0.0013,7188
256,256,3,5,1,0,16384,0.0014,7552
257,256,3,5,1,0,32768,0.0013,7503
258,256,3,5,1,0,65536,0.0014,7546
259,256,3,5,2,0,1024,0.0016,7862
260,256,3,5,2,0,2048,0.0016,7609
261,256,3,5,2,0,4096,0.0016,7736
262,256,3,5,2,0,16384,0.0017,7191
263,256,3,5,2,0,32768,0.0016,7656
264,256,3,5,2,0,65536,0.0016,7413
265,256,3,5,3,0,1024,0.0016,7699
266,256,3,5,3,0,4096,0.0017,7865
267,256,3,5,3,0,16384,0.0018,9320
268,256,3,5,3,0,32768,0.0018,9306
269,256,3,5,3,0,65536,0.0016,9337
270,256,3,6,1,0,1024,0.0014,7679
271,256,3,6,1,0,2048,0.0014,7769
272,256,3,6,1,0,16384,0.0012,7052
273,256,3,6,1,0,32768,0.0013,7454
274,256,3,6,2,0,1024,0.0009,7623
275,256,3,6,2,0,8192,0.001,7100
276,256,3,6,2,0,16384,0.001,7619
277,256,3,6,2,0,32768,0.0009,7491
278,256,3,6,2,0,65536,0.0009,7616
279,256,3,6,3,0,2048,0.0017,7935
