n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0326,1,256,2,8,1,1,0,4,2,0.000112,601
0327,1,256,2,8,1,1,0,5,0,0.000101,777
0328,1,256,2,8,1,1,0,5,1,0.000105,919
0329,1,256,2,8,1,1,0,5,2,0.000105,919
0336,1,256,2,8,1,1,0,8,0,0.000111,662
0337,1,256,2,8,1,1,0,8,1,0.000095,708
0338,1,256,2,8,1,1,0,8,2,0.000095,708
0339,1,256,2,8,1,1,0,9,0,0.000140,907
0340,1,256,2,8,1,1,0,9,1,0.000133,1133
0341,1,256,2,8,1,1,0,9,2,0.000133,1133
0345,1,256,2,8,1,1,0,11,0,0.000115,989
0346,1,256,2,8,1,1,0,11,1,0.000116,1299
0347,1,256,2,8,1,1,0,11,2,0.000116,1299
0357,1,256,2,8,1,1,0,15,0,0.000114,1199
0358,1,256,2,8,1,1,0,15,1,0.000119,1556
0359,1,256,2,8,1,1,0,15,2,0.000119,1556
0360,1,256,4,1,1,1,0,1,0,0.000583,33
0361,1,256,4,1,1,1,0,1,1,0.000409,39
0362,1,256,4,1,1,1,0,1,2,0.000409,39
0363,1,256,4,1,1,1,0,2,0,0.000509,36
0364,1,256,4,1,1,1,0,2,1,0.000410,47
0365,1,256,4,1,1,1,0,2,2,0.000410,47
0366,1,256,4,1,1,1,0,3,0,0.000490,59
0367,1,256,4,1,1,1,0,3,1,0.000407,66
0368,1,256,4,1,1,1,0,3,2,0.000382,64
0369,1,256,4,1,1,1,0,4,0,0.000428,46
0370,1,256,4,1,1,1,0,4,1,0.000399,51
0371,1,256,4,1,1,1,0,4,2,0.000399,51
0378,1,256,4,1,1,1,0,7,0,0.000442,86
0379,1,256,4,1,1,1,0,7,1,0.000399,101
0380,1,256,4,1,1,1,0,7,2,0.000399,101
0381,1,256,4,1,1,1,0,8,0,0.000434,51
0382,1,256,4,1,1,1,0,8,1,0.000402,58
