Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,754.7169811320755,catapult,LUT,43299,area
Throughput,754.7169811320755,catapult,FF,8821,area
Throughput,754.7169811320755,catapult,DSP,0,area
Throughput,754.7169811320755,catapult,BRAM,17.5,area
Throughput,760.4562737642585,catapult,CLB,7603,area
Throughput,760.4562737642585,catapult,LUT,42976,area
Throughput,760.4562737642585,catapult,FF,8710,area
Throughput,760.4562737642585,catapult,DSP,0,area
Throughput,760.4562737642585,catapult,BRAM,17.5,area
Throughput,809.7165991902834,catapult,CLB,7052,area
Throughput,809.7165991902834,catapult,LUT,42771,area
Throughput,809.7165991902834,catapult,FF,8650,area
Throughput,809.7165991902834,catapult,DSP,0,area
Throughput,809.7165991902834,catapult,BRAM,17.5,area
Throughput,762.7765064836002,catapult,CLB,7454,area
Throughput,762.7765064836002,catapult,LUT,42742,area
Throughput,762.7765064836002,catapult,FF,8634,area
Throughput,762.7765064836002,catapult,DSP,0,area
Throughput,762.7765064836002,catapult,BRAM,17.5,area
Throughput,1131.2217194570135,catapult,CLB,7623,area
Throughput,1131.2217194570135,catapult,LUT,44656,area
Throughput,1131.2217194570135,catapult,FF,9261,area
Throughput,1131.2217194570135,catapult,DSP,0,area
Throughput,1131.2217194570135,catapult,BRAM,33.5,area
Throughput,1010.1010101010102,catapult,CLB,8060,area
Throughput,1010.1010101010102,catapult,LUT,43179,area
Throughput,1010.1010101010102,catapult,FF,8711,area
Throughput,1010.1010101010102,catapult,DSP,0,area
Throughput,1010.1010101010102,catapult,BRAM,17.5,area
Throughput,1028.80658436214,catapult,CLB,7100,area
Throughput,1028.80658436214,catapult,LUT,42951,area
Throughput,1028.80658436214,catapult,FF,8622,area
Throughput,1028.80658436214,catapult,DSP,0,area
Throughput,1028.80658436214,catapult,BRAM,17.5,area
Throughput,1009.0817356205854,catapult,CLB,7619,area
Throughput,1009.0817356205854,catapult,LUT,42852,area
Throughput,1009.0817356205854,catapult,FF,8579,area
Throughput,1009.0817356205854,catapult,DSP,0,area
Throughput,1009.0817356205854,catapult,BRAM,17.5,area
Throughput,1079.9136069114472,catapult,CLB,7491,area
Throughput,1079.9136069114472,catapult,LUT,42764,area
Throughput,1079.9136069114472,catapult,FF,8557,area
Throughput,1079.9136069114472,catapult,DSP,0,area
Throughput,1079.9136069114472,catapult,BRAM,17.5,area
Throughput,1146.788990825688,catapult,CLB,7616,area
Throughput,1146.788990825688,catapult,LUT,42768,area
Throughput,1146.788990825688,catapult,FF,8547,area
Throughput,1146.788990825688,catapult,DSP,0,area
Throughput,1146.788990825688,catapult,BRAM,17.5,area
Throughput,599.1611743559017,catapult,CLB,7935,area
Throughput,599.1611743559017,catapult,LUT,44468,area
Throughput,599.1611743559017,catapult,FF,9354,area
Throughput,599.1611743559017,catapult,DSP,0,area
