n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
101,1,1,2,4,4,1,4194304,0,0.710585,8546.048
102,1,1,2,4,4,2,2097152,0,0.714947,8750.07
103,1,1,2,4,4,4,1048576,0,0.715451,6208.174
104,1,1,2,4,4,8,524288,0,0.719142,6041.658
105,1,1,2,4,8,1,4194304,0,0.716087,12692.456
106,1,1,2,4,8,2,2097152,0,0.729845,13172.32
107,1,1,2,4,8,4,1048576,0,0.743099,8659.63
108,1,1,2,4,8,8,524288,0,0.743771,7430.71
109,1,1,2,8,1,1,4194304,0,0.688974,5849.074
110,1,1,2,8,1,2,2097152,0,0.693338,5987.128
111,1,1,2,8,1,4,1048576,0,0.696359,5067.034
112,1,1,2,8,1,8,524288,0,0.715324,5019.952
113,1,1,2,8,2,1,4194304,0,0.704277,8820.028
114,1,1,2,8,2,2,2097152,0,0.716863,9049.586
115,1,1,2,8,2,4,1048576,0,0.707801,6739.376
116,1,1,2,8,2,8,524288,0,0.719548,6130.768
117,1,1,2,8,4,1,4194304,0,0.728706,12079.592
118,1,1,2,8,4,2,2097152,0,0.721994,12476.996
119,1,1,2,8,4,4,1048576,0,0.734243,8393.896
120,1,1,2,8,4,8,524288,0,0.728874,6920.256
121,1,1,4,1,1,1,4194304,0,0.422247,4102.252
122,1,1,4,1,1,2,2097152,0,0.414073,4117.946
123,1,1,4,1,1,4,1048576,0,0.417462,4176.732
124,1,1,4,1,1,8,524288,0,0.423343,4457.894
125,1,1,4,1,2,1,4194304,0,0.690206,4447.254
126,1,1,4,1,2,2,2097152,0,0.693374,4355.75
127,1,1,4,1,2,4,1048576,0,0.729727,4494.336
128,1,1,4,1,2,8,524288,0,0.718054,4695.432
129,1,1,4,1,4,1,4194304,0,0.697641,4782.148
130,1,1,4,1,4,2,2097152,0,0.705478,4702.348
131,1,1,4,1,4,4,1048576,0,0.711147,4808.216
132,1,1,4,1,4,8,524288,0,0.713982,4829.23
133,1,1,4,1,8,1,4194304,0,0.70661,5128.214
134,1,1,4,1,8,2,2097152,0,0.695606,5049.212
135,1,1,4,1,8,4,1048576,0,0.709945,5790.288
136,1,1,4,1,8,8,524288,0,0.728119,5136.194
137,1,1,4,2,1,1,4194304,0,0.700515,4424.378
138,1,1,4,2,1,2,2097152,0,0.702516,4384.744
139,1,1,4,2,1,4,1048576,0,0.705852,4471.194
140,1,1,4,2,1,8,524288,0,0.742212,4678.674
141,1,1,4,2,2,1,4194304,0,0.690872,4631.858
142,1,1,4,2,2,2,2097152,0,0.689205,4619.356
143,1,1,4,2,2,4,1048576,0,0.707715,4657.394
144,1,1,4,2,2,8,524288,0,0.714218,4802.63
145,1,1,4,2,4,1,4194304,0,0.70281,5423.474
146,1,1,4,2,4,2,2097152,0,0.709979,4997.076
147,1,1,4,2,4,4,1048576,0,0.724152,5376.392
148,1,1,4,2,4,8,524288,0,0.729821,5421.08
149,1,1,4,2,8,1,4194304,0,0.720115,5667.396
150,1,1,4,2,8,2,2097152,0,0.702775,5699.316
151,1,1,4,2,8,4,1048576,0,0.705443,5859.182
152,1,1,4,2,8,8,524288,0,0.740123,5775.126
153,1,1,4,4,1,1,4194304,0,0.69451,4977.392
154,1,1,4,4,1,2,2097152,0,0.694677,4746.504
155,1,1,4,4,1,4,1048576,0,0.724866,5133.534
156,1,1,4,4,1,8,524288,0,0.726867,5150.292
157,1,1,4,4,2,1,4194304,0,0.699043,4985.904
158,1,1,4,4,2,2,2097152,0,0.690038,4990.692
159,1,1,4,4,2,4,1048576,0,0.73056,5724.054
160,1,1,4,4,2,8,524288,0,0.715719,5452.202
161,1,1,4,4,4,1,4194304,0,0.696973,5310.424
162,1,1,4,4,4,2,2097152,0,0.692805,5549.026
163,1,1,4,4,4,4,1048576,0,0.704977,5784.436
164,1,1,4,4,4,8,524288,0,0.727487,5640.264
165,1,1,4,4,8,1,4194304,0,0.703775,8120.182
166,1,1,4,4,8,2,2097152,0,0.708777,7668.514
167,1,1,4,4,8,4,1048576,0,0.720115,7849.128
168,1,1,4,4,8,8,524288,0,0.717947,6795.768
169,1,1,4,8,1,1,4194304,0,0.693176,5189.926
170,1,1,4,8,1,2,2097152,0,0.690674,5258.554
171,1,1,4,8,1,4,1048576,0,0.699514,5275.578
172,1,1,4,8,1,8,524288,0,0.729202,5478.536
173,1,1,4,8,2,1,4194304,0,0.710215,5603.29
174,1,1,4,8,2,2,2097152,0,0.705046,5700.114
175,1,1,4,8,2,4,1048576,0,0.70071,6445.978
176,1,1,4,8,2,8,524288,0,0.720054,5862.374
177,1,1,4,8,4,1,4194304,0,0.718483,6772.094
178,1,1,4,8,4,2,2097152,0,0.721651,7352.772
179,1,1,4,8,4,4,1048576,0,0.700641,7354.368
180,1,1,4,8,4,8,524288,0,0.722318,6438.796
181,1,1,8,1,1,1,4194304,0,0.365255,3904.348
182,1,1,8,1,1,2,2097152,0,0.357741,3962.07
183,1,1,8,1,1,4,1048576,0,0.361546,4027.506
184,1,1,8,1,1,8,524288,0,0.36301,4288.452
185,1,1,8,1,2,1,4194304,0,0.701614,4253.872
186,1,1,8,1,2,2,2097152,0,0.69371,4313.988
187,1,1,8,1,2,4,1048576,0,0.72269,4417.196
188,1,1,8,1,2,8,524288,0,0.728947,4576.53
189,1,1,8,1,4,1,4194304,0,0.696769,4598.076
190,1,1,8,1,4,2,2097152,0,0.70105,4620.154
191,1,1,8,1,4,4,1048576,0,0.728216,4778.956
192,1,1,8,1,4,8,524288,0,0.723112,5047.882
193,1,1,8,1,8,1,4194304,0,0.695582,5329.31
194,1,1,8,1,8,2,2097152,0,0.698546,5010.376
195,1,1,8,1,8,4,1048576,0,0.708259,5642.392
196,1,1,8,1,8,8,524288,0,0.724887,5339.95
