n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0146,1,1,8,1,1,4,1048576,0,0.553279,4372.774,236
0147,1,1,8,1,2,1,4194304,0,0.697903,4590.096,233
0148,1,1,8,1,2,2,2097152,0,0.696754,4590.894,233
0149,1,1,8,1,2,4,1048576,0,0.699216,4716.712,236
0150,1,1,8,1,4,1,4194304,0,0.698161,4947.068,233
0151,1,1,8,1,4,2,2097152,0,0.694222,5069.694,233
0152,1,1,8,1,4,4,1048576,0,0.705711,5206.950,236
0153,1,1,8,1,8,1,4194304,0,0.696649,6328.672,233
0154,1,1,8,1,8,2,2097152,0,0.697142,6141.142,233
0155,1,1,8,1,8,4,1048576,0,0.704855,6585.362,236
0156,1,1,8,2,1,1,4194304,0,0.699519,4627.602,233
0157,1,1,8,2,1,2,2097152,0,0.697385,4675.482,233
0158,1,1,8,2,1,4,1048576,0,0.708877,4790.394,236
0159,1,1,8,2,2,1,4194304,0,0.701021,4949.994,233
0160,1,1,8,2,2,2,2097152,0,0.707914,5066.768,233
0161,1,1,8,2,2,4,1048576,0,0.702170,5547.430,236
0162,1,1,8,2,4,1,4194304,0,0.701607,6367.508,233
0163,1,1,8,2,4,2,2097152,0,0.691104,6070.918,233
0164,1,1,8,2,4,4,1048576,0,0.720645,6967.338,236
0168,1,1,8,4,1,1,4194304,0,0.698205,5231.688,233
0169,1,1,8,4,1,2,2097152,0,0.702638,5535.194,233
0170,1,1,8,4,1,4,1048576,0,0.703787,5482.526,236
0171,1,1,8,4,2,1,4194304,0,0.690188,6391.448,233
0172,1,1,8,4,2,2,2097152,0,0.693634,6567.274,233
0173,1,1,8,4,2,4,1048576,0,0.713495,7029.316,236
0180,1,1,8,8,1,1,4194304,0,0.725950,6258.714,233
0181,1,1,8,8,1,2,2097152,0,0.702966,7205.408,233
0182,1,1,8,8,1,4,1048576,0,0.702966,7118.160,236
0192,1,2,1,1,1,1,4194304,0,0.554192,4270.364,233
0193,1,2,1,1,1,2,2097152,0,0.562161,4328.884,233
0194,1,2,1,1,1,4,1048576,0,0.557434,4212.110,236
0195,1,2,1,1,2,1,4194304,0,0.705050,4207.056,231
0196,1,2,1,1,2,2,2097152,0,0.708591,4266.108,231
0197,1,2,1,1,2,4,1048576,0,0.708759,4375.168,234
0198,1,2,1,1,4,1,4194304,0,0.684415,4445.126,231
0199,1,2,1,1,4,2,2097152,0,0.702284,4549.930,231
0200,1,2,1,1,4,4,1048576,0,0.697564,4713.786,234
0201,1,2,1,1,8,1,4194304,0,0.695170,5030.060,231
0202,1,2,1,1,8,2,2097152,0,0.702250,5150.292,231
0203,1,2,1,1,8,4,1048576,0,0.723995,5389.958,234
0204,1,2,1,2,1,1,4194304,0,0.706198,4140.024,231
0205,1,2,1,2,1,2,2097152,0,0.701140,4284.462,231
0206,1,2,1,2,1,4,1048576,0,0.703500,4389.798,234
0207,1,2,1,2,2,1,4194304,0,0.695608,4531.310,231
0208,1,2,1,2,2,2,2097152,0,0.703701,4601.800,231
0209,1,2,1,2,2,4,1048576,0,0.711119,4733.736,234
0210,1,2,1,2,4,1,4194304,0,0.688629,5113.052,231
0211,1,2,1,2,4,2,2097152,0,0.699250,5263.608,231
