Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,1.436321408514226,catapult,Area,5009.578,latency
Throughput,1.3911959555151183,catapult,Area,4632.922,latency
Throughput,1.43301787833105,catapult,Area,5701.710,latency
Throughput,1.43301787833105,catapult,Area,5826.730,latency
Throughput,1.4309611336646486,catapult,Area,4973.136,latency
Throughput,1.413105992841205,catapult,Area,7554.932,latency
Throughput,1.4151116947660678,catapult,Area,8229.508,latency
Throughput,1.4144431620159776,catapult,Area,5655.426,latency
Throughput,1.4360408927004606,catapult,Area,5070.758,latency
Throughput,1.4353503833820873,catapult,Area,5166.784,latency
Throughput,1.4186570424972904,catapult,Area,4722.298,latency
Throughput,1.4383956710043886,catapult,Area,5896.688,latency
Throughput,1.411564097714113,catapult,Area,6339.312,latency
Throughput,1.3996663195494194,catapult,Area,5054.000,latency
Throughput,1.3154138884029165,catapult,Area,8062.460,latency
Throughput,1.406719052884196,catapult,Area,8304.254,latency
Throughput,1.4117015945169509,catapult,Area,5893.496,latency
Throughput,1.3891377760737686,catapult,Area,11778.214,latency
Throughput,1.3855980934170236,catapult,Area,12035.968,latency
Throughput,1.4114385805444483,catapult,Area,7682.878,latency
Throughput,1.412956243571049,catapult,Area,6051.766,latency
Throughput,1.3951457299472216,catapult,Area,6678.728,latency
Throughput,1.4020191880346073,catapult,Area,5265.470,latency
Throughput,1.4325375109947254,catapult,Area,8052.086,latency
Throughput,1.382191021563562,catapult,Area,8653.778,latency
Throughput,1.411231426430389,catapult,Area,6045.914,latency
Throughput,1.3991493172151332,catapult,Area,12149.018,latency
Throughput,1.3797747103852884,catapult,Area,12063.632,latency
Throughput,1.4127027405020463,catapult,Area,7333.354,latency
Throughput,1.3755593368153325,catapult,Area,8704.584,latency
Throughput,1.4003758608810604,catapult,Area,8643.936,latency
Throughput,1.4227098639320288,catapult,Area,6629.784,latency
Throughput,1.3793217599042198,catapult,Area,12151.146,latency
Throughput,1.4085717223592449,catapult,Area,12402.250,latency
Throughput,1.382510140711882,catapult,Area,7370.328,latency
Throughput,1.430197767747324,catapult,Area,4343.514,latency
Throughput,1.4418363227406426,catapult,Area,4323.564,latency
Throughput,1.4104392248790194,catapult,Area,4418.260,latency
Throughput,1.4543043044498805,catapult,Area,4666.704,latency
Throughput,1.4417760373939033,catapult,Area,4668.300,latency
Throughput,1.421367127758163,catapult,Area,4761.666,latency
Throughput,1.4343662682953418,catapult,Area,5237.806,latency
Throughput,1.4221797464537946,catapult,Area,5187.000,latency
Throughput,1.4262181685932498,catapult,Area,5488.910,latency
Throughput,1.3917032220712997,catapult,Area,6923.714,latency
Throughput,1.4142391252082467,catapult,Area,6959.624,latency
Throughput,1.4050054724963155,catapult,Area,6389.054,latency
Throughput,1.448074929189136,catapult,Area,4557.910,latency
Throughput,1.4349672827459532,catapult,Area,4572.274,latency
Throughput,1.447031415052021,catapult,Area,4672.822,latency
Throughput,1.4571184608166277,catapult,Area,5311.222,latency
Throughput,1.4571184608166277,catapult,Area,5205.620,latency
Throughput,1.4064381110973594,catapult,Area,5426.134,latency
Throughput,1.4474607919057993,catapult,Area,6336.386,latency
Throughput,1.4141691261424718,catapult,Area,6455.022,latency
Throughput,1.4128444514772702,catapult,Area,6751.080,latency
Throughput,1.4334143212424835,catapult,Area,8536.472,latency
Throughput,1.4315572479743464,catapult,Area,5045.222,latency
Throughput,1.4575368501754147,catapult,Area,4814.866,latency
Throughput,1.4428744367378916,catapult,Area,5042.562,latency
Throughput,1.4335437775598792,catapult,Area,6950.580,latency
Throughput,1.4041453178072305,catapult,Area,7002.716,latency
Throughput,1.4070971164358794,catapult,Area,7417.144,latency
Throughput,1.4042833450590992,catapult,Area,9556.316,latency
Throughput,1.4603635429003696,catapult,Area,5437.306,latency
Throughput,1.4505177623152583,catapult,Area,5160.932,latency
Throughput,1.4055050823063775,catapult,Area,5423.208,latency
Throughput,1.3956889958296812,catapult,Area,8945.314,latency
Throughput,1.454818431385671,catapult,Area,4300.954,latency
Throughput,1.442416567019722,catapult,Area,4474.386,latency
Throughput,1.4228738351999068,catapult,Area,4605.524,latency
Throughput,1.432190779269325,catapult,Area,4637.444,latency
Throughput,1.4328638793643242,catapult,Area,4856.362,latency
Throughput,1.405430019423043,catapult,Area,4968.348,latency
Throughput,1.4163523544733365,catapult,Area,5838.434,latency
Throughput,1.4286387786852808,catapult,Area,5962.390,latency
Throughput,1.424964233397742,catapult,Area,6389.586,latency
Throughput,1.4398516376872526,catapult,Area,7315.532,latency
Throughput,1.426704483846852,catapult,Area,7958.986,latency
Throughput,1.4300525544313754,catapult,Area,7365.274,latency
Throughput,1.4335910452168952,catapult,Area,4655.798,latency
Throughput,1.4339281745377372,catapult,Area,4873.918,latency
Throughput,1.4080738957180472,catapult,Area,5033.784,latency
Throughput,1.4362430180636283,catapult,Area,5251.106,latency
Throughput,1.4512966610017721,catapult,Area,5677.770,latency
Throughput,1.444414593209518,catapult,Area,5822.740,latency
Throughput,1.428306171710968,catapult,Area,7382.032,latency
Throughput,1.4189912107684406,catapult,Area,8820.294,latency
Throughput,1.4166834307539307,catapult,Area,8202.908,latency
Throughput,1.4393501046407526,catapult,Area,6195.672,latency
Throughput,1.4396899483727184,catapult,Area,5952.548,latency
Throughput,1.425872455708837,catapult,Area,6351.814,latency
Throughput,1.4234915971291022,catapult,Area,7287.336,latency
Throughput,1.4365834597526776,catapult,Area,7576.744,latency
Throughput,1.4148974553069267,catapult,Area,7803.642,latency
Throughput,1.4386708982773355,catapult,Area,7626.752,latency
Throughput,1.424207250639113,catapult,Area,7604.674,latency
Throughput,1.4232079676874863,catapult,Area,8248.394,latency
Throughput,1.8097025391936328,catapult,Area,4085.494,latency
Throughput,1.8004782070117822,catapult,Area,4334.736,latency
Throughput,1.7930787161556394,catapult,Area,4246.690,latency
Throughput,1.4208864626463158,catapult,Area,4235.518,latency
Throughput,1.4174967291262974,catapult,Area,4350.430,latency
Throughput,1.4287469603408418,catapult,Area,4377.562,latency
Throughput,1.443818148216596,catapult,Area,4453.904,latency
Throughput,1.4410156278144837,catapult,Area,4596.746,latency
Throughput,1.4223860810987647,catapult,Area,4693.570,latency
Throughput,1.4334369230416384,catapult,Area,4997.874,latency
Throughput,1.389521893306951,catapult,Area,5214.398,latency
Throughput,1.395396864822324,catapult,Area,5449.276,latency
Throughput,1.4536404972613413,catapult,Area,4188.436,latency
Throughput,1.418576543553137,catapult,Area,4376.498,latency
Throughput,1.419255033033161,catapult,Area,4426.506,latency
Throughput,1.4433263476338107,catapult,Area,4504.710,latency
Throughput,1.4294352158518648,catapult,Area,4630.794,latency
Throughput,1.428749001661635,catapult,Area,4714.318,latency
Throughput,1.4540653486048971,catapult,Area,4948.664,latency
Throughput,1.409564458677913,catapult,Area,5224.240,latency
Throughput,1.4350990792404308,catapult,Area,5483.856,latency
Throughput,1.423139103308514,catapult,Area,6554.506,latency
Throughput,1.3947429349296632,catapult,Area,8459.598,latency
Throughput,1.3640034045524978,catapult,Area,6339.844,latency
Throughput,1.442345831259961,catapult,Area,4483.696,latency
Throughput,1.4378062527318318,catapult,Area,4722.830,latency
Throughput,1.3942684412915387,catapult,Area,4799.970,latency
Throughput,1.4342675195777517,catapult,Area,5033.518,latency
Throughput,1.4332294242000787,catapult,Area,5168.912,latency
Throughput,1.4349611053792386,catapult,Area,5386.234,latency
Throughput,1.412245866356349,catapult,Area,6567.806,latency
Throughput,1.425801300330786,catapult,Area,6631.114,latency
Throughput,1.4048988824029391,catapult,Area,6773.158,latency
Throughput,1.4392009556294347,catapult,Area,5003.194,latency
Throughput,1.4343354078604449,catapult,Area,5248.446,latency
Throughput,1.3955779716390644,catapult,Area,5347.664,latency
Throughput,1.4205493832684852,catapult,Area,7094.220,latency
Throughput,1.412108263516347,catapult,Area,8397.886,latency
Throughput,1.3955214924265047,catapult,Area,7129.066,latency
Throughput,1.4002758543433056,catapult,Area,4782.680,latency
Throughput,1.4035580195796344,catapult,Area,4825.506,latency
Throughput,1.3844068716419482,catapult,Area,4427.304,latency
Throughput,1.4409990157976722,catapult,Area,5745.068,latency
Throughput,1.4423874396901752,catapult,Area,5869.556,latency
Throughput,1.4231877127665629,catapult,Area,4885.356,latency
Throughput,1.4003601726364021,catapult,Area,7865.886,latency
Throughput,1.4105864513171351,catapult,Area,7862.694,latency
Throughput,1.4019995317321565,catapult,Area,5537.854,latency
Throughput,1.4089964422839831,catapult,Area,10911.320,latency
Throughput,1.401740120185198,catapult,Area,11266.430,latency
Throughput,1.414989550302171,catapult,Area,6484.814,latency
Throughput,1.4462863704865019,catapult,Area,5755.708,latency
Throughput,1.4455880652249333,catapult,Area,5911.052,latency
Throughput,1.413501483469807,catapult,Area,4886.952,latency
Throughput,1.401205877778416,catapult,Area,7739.802,latency
Throughput,1.406473717225646,catapult,Area,7870.940,latency
Throughput,1.4157848686576378,catapult,Area,5622.442,latency
Throughput,1.3825770406491475,catapult,Area,10820.082,latency
Throughput,1.4019995317321565,catapult,Area,11055.492,latency
Throughput,1.398397995256634,catapult,Area,6665.960,latency
Throughput,1.3224906731345278,catapult,Area,17891.957,latency
Throughput,1.3734490326798463,catapult,Area,9194.024,latency
Throughput,1.3914882662751946,catapult,Area,7767.998,latency
Throughput,1.4101727038510405,catapult,Area,7642.446,latency
Throughput,1.4131698955243497,catapult,Area,5732.566,latency
Throughput,1.4121122516271063,catapult,Area,11436.138,latency
Throughput,1.4068041489467962,catapult,Area,10827.796,latency
Throughput,1.4164566769643065,catapult,Area,6909.616,latency
Throughput,1.4105884410740785,catapult,Area,16980.908,latency
Throughput,1.4148394015795267,catapult,Area,11334.526,latency
Throughput,1.4145051848687553,catapult,Area,11578.182,latency
Throughput,1.3950561998390105,catapult,Area,7124.810,latency
Throughput,1.3427577020581791,catapult,Area,17900.471,latency
Throughput,1.4104491716432015,catapult,Area,9850.246,latency
Throughput,1.4461922481203118,catapult,Area,4575.732,latency
Throughput,1.4253521688871278,catapult,Area,4581.584,latency
Throughput,1.437922030115839,catapult,Area,4652.606,latency
Throughput,1.4047271879328316,catapult,Area,5071.822,latency
Throughput,1.4375210237449723,catapult,Area,5033.518,latency
Throughput,1.429010338889802,catapult,Area,5202.694,latency
Throughput,1.4497502080391549,catapult,Area,5932.332,latency
Throughput,1.4022551066625346,catapult,Area,5929.406,latency
Throughput,1.4397210396513573,catapult,Area,6567.806,latency
Throughput,1.4343168922369032,catapult,Area,7628.348,latency
Throughput,1.4181399959441197,catapult,Area,8167.264,latency
Throughput,1.4164767407436787,catapult,Area,7404.642,latency
