n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0405,2,5,1,3,128,1.3895,6955
0406,2,5,1,4,2,1.3968,5117
0407,2,5,1,4,4,1.4116,5316
0408,2,5,1,4,8,1.3692,5543
0409,2,5,1,4,16,1.3814,5682
0410,2,5,1,4,32,1.4458,6326
0411,2,5,1,4,64,1.4743,7851
0413,2,5,1,5,2,1.3930,6026
0414,2,5,1,5,4,1.3899,6962
0415,2,5,1,5,8,1.4414,6673
0416,2,5,1,5,16,1.4119,7061
0417,2,5,1,5,32,1.4146,7907
0420,2,5,2,1,2,0.9780,2293
0421,2,5,2,1,4,0.9599,2464
0422,2,5,2,1,8,0.9977,2638
0423,2,5,2,1,16,1.0908,2633
0424,2,5,2,1,32,0.9066,2822
0425,2,5,2,1,64,1.0036,3476
0426,2,5,2,1,128,1.0292,4209
0427,2,5,2,2,2,1.2512,3294
0428,2,5,2,2,4,1.2797,3680
0429,2,5,2,2,8,1.1987,3651
0430,2,5,2,2,16,1.2458,3975
0431,2,5,2,2,32,1.2201,4525
0432,2,5,2,2,64,1.2917,5377
0433,2,5,2,2,128,1.2388,7089
0434,2,5,2,3,2,1.2859,4385
0435,2,5,2,3,4,1.2923,5445
0436,2,5,2,3,8,1.2571,5054
0437,2,5,2,3,16,1.3018,5687
0438,2,5,2,3,32,1.2934,6408
0439,2,5,2,3,64,1.2020,7485
0440,2,5,2,3,128,1.2020,7485
0441,2,5,2,4,2,1.2656,5493
0442,2,5,2,4,4,1.2141,5951
0443,2,5,2,4,8,1.2500,6365
0444,2,5,2,4,16,1.3177,6728
0445,2,5,2,4,32,1.2963,7754
0446,2,5,2,4,64,1.2963,7754
0448,2,5,2,5,2,1.2677,6750
0449,2,5,2,5,4,1.2746,7468
0450,2,5,2,5,8,1.2922,8083
0451,2,5,2,5,16,1.3002,8462
0452,2,5,2,5,32,1.2626,9552
0455,4,1,1,1,2,0.5221,1347
0456,4,1,1,1,4,0.4978,1374
0457,4,1,1,1,8,0.5089,1407
0458,4,1,1,1,16,0.4979,1473
0459,4,1,1,1,32,0.5126,1591
0460,4,1,1,1,64,0.5047,1868
0461,4,1,1,1,128,0.5374,2240
0462,4,1,1,2,2,0.6257,1712
0463,4,1,1,2,4,0.6217,2004
0464,4,1,1,2,8,0.6652,2067
0465,4,1,1,2,16,0.6319,2179
0466,4,1,1,2,32,0.6125,2361
0467,4,1,1,2,64,0.6220,2925
0468,4,1,1,2,128,0.6398,3699
0469,4,1,1,3,2,0.6448,2238
0470,4,1,1,3,4,0.7308,2411
0471,4,1,1,3,8,0.6565,2595
0472,4,1,1,3,16,0.6437,2817
0473,4,1,1,3,32,0.6592,3089
0474,4,1,1,3,64,0.6255,3712
0475,4,1,1,3,128,0.6578,5106
0476,4,1,1,4,2,0.6730,2561
0477,4,1,1,4,4,0.7535,2833
0478,4,1,1,4,8,0.7226,2886
0479,4,1,1,4,16,0.6683,3114
0480,4,1,1,4,32,0.6741,3780
0481,4,1,1,4,64,0.6566,4580
0482,4,1,1,4,128,0.7416,6320
0483,4,1,1,5,2,0.7243,2946
0484,4,1,1,5,4,0.7369,3251
0485,4,1,1,5,8,0.6604,3460
0486,4,1,1,5,16,0.7361,3816
0487,4,1,1,5,32,0.6246,4457
0488,4,1,1,5,64,0.7010,5497
0489,4,1,1,5,128,0.7010,5497
0490,4,1,2,1,2,0.5401,1522
0491,4,1,2,1,4,0.4824,1576
0492,4,1,2,1,8,0.5017,1645
0493,4,1,2,1,16,0.4833,1850
0494,4,1,2,1,32,0.4604,2047
0495,4,1,2,1,64,0.4442,2564
0496,4,1,2,1,128,0.4873,3364
0497,4,1,2,2,2,0.5835,2047
0498,4,1,2,2,4,0.5614,2345
0499,4,1,2,2,8,0.5690,2477
0500,4,1,2,2,16,0.5529,2670
0501,4,1,2,2,32,0.5995,3311
0502,4,1,2,2,64,0.5837,4106
0503,4,1,2,2,128,0.6220,5877
0504,4,1,2,3,2,0.6344,2637
0505,4,1,2,3,4,0.6594,3096
0506,4,1,2,3,8,0.5757,3244
0507,4,1,2,3,16,0.6135,3544
