Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,38461.53846153846,catapult,LUT,2121,area
Throughput,38461.53846153846,catapult,FF,1734,area
Throughput,38461.53846153846,catapult,DSP,0,area
Throughput,38461.53846153846,catapult,BRAM,0,area
Throughput,40000.0,catapult,CLB,400,area
Throughput,40000.0,catapult,LUT,2495,area
Throughput,40000.0,catapult,FF,1189,area
Throughput,40000.0,catapult,DSP,0,area
Throughput,40000.0,catapult,BRAM,0,area
Throughput,24390.243902439022,catapult,CLB,321,area
Throughput,24390.243902439022,catapult,LUT,1743,area
Throughput,24390.243902439022,catapult,FF,898,area
Throughput,24390.243902439022,catapult,DSP,0,area
Throughput,24390.243902439022,catapult,BRAM,0,area
Throughput,19230.76923076923,catapult,CLB,452,area
Throughput,19230.76923076923,catapult,LUT,2532,area
Throughput,19230.76923076923,catapult,FF,1397,area
Throughput,19230.76923076923,catapult,DSP,0,area
Throughput,19230.76923076923,catapult,BRAM,0,area
Throughput,21739.130434782608,catapult,CLB,448,area
Throughput,21739.130434782608,catapult,LUT,2726,area
Throughput,21739.130434782608,catapult,FF,1431,area
Throughput,21739.130434782608,catapult,DSP,0,area
Throughput,21739.130434782608,catapult,BRAM,0,area
Throughput,20833.333333333332,catapult,CLB,532,area
Throughput,20833.333333333332,catapult,LUT,3291,area
Throughput,20833.333333333332,catapult,FF,1598,area
Throughput,20833.333333333332,catapult,DSP,0,area
Throughput,20833.333333333332,catapult,BRAM,0,area
Throughput,25641.02564102564,catapult,CLB,669,area
Throughput,25641.02564102564,catapult,LUT,4225,area
Throughput,25641.02564102564,catapult,FF,1308,area
Throughput,25641.02564102564,catapult,DSP,0,area
Throughput,25641.02564102564,catapult,BRAM,0,area
Throughput,25641.02564102564,catapult,CLB,293,area
Throughput,25641.02564102564,catapult,LUT,1641,area
Throughput,25641.02564102564,catapult,FF,875,area
Throughput,25641.02564102564,catapult,DSP,0,area
Throughput,25641.02564102564,catapult,BRAM,0,area
Throughput,20408.163265306124,catapult,CLB,392,area
Throughput,20408.163265306124,catapult,LUT,1919,area
