Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,4629.62962962963,catapult,Area,16488.010,catapult_asic_area
Throughput,5076.1421319796955,catapult,Area,19571.748,catapult_asic_area
Throughput,4651.162790697675,catapult,Area,19562.703,catapult_asic_area
Throughput,6410.25641025641,catapult,Area,21195.146,catapult_asic_area
Throughput,5347.593582887701,catapult,Area,14288.988,catapult_asic_area
Throughput,4273.504273504273,catapult,Area,16297.820,catapult_asic_area
Throughput,4524.886877828054,catapult,Area,19712.729,catapult_asic_area
Throughput,5128.205128205128,catapult,Area,19273.562,catapult_asic_area
Throughput,6289.30817610063,catapult,Area,20668.199,catapult_asic_area
Throughput,3875.9689922480625,catapult,Area,13851.950,catapult_asic_area
Throughput,4273.504273504273,catapult,Area,17341.072,catapult_asic_area
Throughput,4291.845493562232,catapult,Area,19611.383,catapult_asic_area
Throughput,4629.62962962963,catapult,Area,19714.855,catapult_asic_area
Throughput,6289.30817610063,catapult,Area,22798.328,catapult_asic_area
Throughput,5347.593582887701,catapult,Area,13855.408,catapult_asic_area
Throughput,5235.602094240838,catapult,Area,15805.454,catapult_asic_area
Throughput,5128.205128205128,catapult,Area,16489.074,catapult_asic_area
Throughput,5434.782608695652,catapult,Area,18960.480,catapult_asic_area
Throughput,6289.30817610063,catapult,Area,21248.611,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,8200.248,catapult_asic_area
Throughput,71428.57142857143,catapult,Area,11872.910,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,12558.392,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,14063.686,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,11350.752,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,7871.206,catapult_asic_area
Throughput,71428.57142857143,catapult,Area,11120.662,catapult_asic_area
Throughput,71428.57142857143,catapult,Area,12541.368,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,13975.906,catapult_asic_area
Throughput,111111.11111111111,catapult,Area,10749.592,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,8125.502,catapult_asic_area
Throughput,83333.33333333333,catapult,Area,12487.370,catapult_asic_area
Throughput,71428.57142857143,catapult,Area,12791.408,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,14183.120,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,13967.394,catapult_asic_area
Throughput,90909.09090909091,catapult,Area,7800.982,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,10923.024,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,11573.926,catapult_asic_area
Throughput,76923.07692307692,catapult,Area,13970.320,catapult_asic_area
Throughput,99999.99999999999,catapult,Area,11100.180,catapult_asic_area
Throughput,31250.0,catapult,Area,8751.932,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,12913.502,catapult_asic_area
Throughput,30303.0303030303,catapult,Area,15838.970,catapult_asic_area
Throughput,31250.0,catapult,Area,16062.144,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,16664.635,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,8632.232,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,11916.002,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,15712.886,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,15896.160,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,16347.828,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,8792.098,catapult_asic_area
Throughput,24390.243902439022,catapult,Area,13303.990,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,15951.754,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,16028.894,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,18921.645,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,8612.282,catapult_asic_area
Throughput,26315.78947368421,catapult,Area,11915.204,catapult_asic_area
Throughput,31250.0,catapult,Area,12741.400,catapult_asic_area
Throughput,31250.0,catapult,Area,15501.150,catapult_asic_area
Throughput,31250.0,catapult,Area,16154.978,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,9159.178,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,13022.828,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,13390.174,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,14971.278,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,19220.096,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,9060.492,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,12050.066,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,13320.748,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,14809.018,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,18737.838,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,9084.166,catapult_asic_area
Throughput,27777.777777777777,catapult,Area,14016.072,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,13991.334,catapult_asic_area
Throughput,24999.999999999996,catapult,Area,15239.672,catapult_asic_area
Throughput,32258.06451612903,catapult,Area,21617.820,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,9033.892,catapult_asic_area
Throughput,28571.428571428572,catapult,Area,12001.388,catapult_asic_area
Throughput,22222.222222222223,catapult,Area,12416.348,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,14868.868,catapult_asic_area
Throughput,29411.764705882353,catapult,Area,19205.467,catapult_asic_area
Throughput,18867.924528301886,catapult,Area,11364.850,catapult_asic_area
Throughput,18518.51851851852,catapult,Area,15137.794,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,18387.516,catapult_asic_area
Throughput,19607.843137254902,catapult,Area,17896.746,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,19598.082,catapult_asic_area
Throughput,18867.924528301886,catapult,Area,11240.096,catapult_asic_area
Throughput,18518.51851851852,catapult,Area,14213.710,catapult_asic_area
Throughput,19607.843137254902,catapult,Area,18134.816,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,17765.607,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,19087.096,catapult_asic_area
Throughput,20408.163265306124,catapult,Area,11754.540,catapult_asic_area
Throughput,20833.333333333332,catapult,Area,15869.028,catapult_asic_area
Throughput,21739.130434782608,catapult,Area,18610.424,catapult_asic_area
Throughput,23255.81395348837,catapult,Area,18101.033,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,21197.807,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,11339.314,catapult_asic_area
Throughput,18181.81818181818,catapult,Area,14053.578,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,15498.490,catapult_asic_area
Throughput,19230.76923076923,catapult,Area,17405.178,catapult_asic_area
Throughput,25641.02564102564,catapult,Area,19053.049,catapult_asic_area
Throughput,49999.99999999999,catapult,Area,9128.322,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,13057.408,catapult_asic_area
Throughput,27027.027027027027,catapult,Area,13479.018,catapult_asic_area
Throughput,38461.53846153846,catapult,Area,14868.602,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,11898.978,catapult_asic_area
Throughput,49999.99999999999,catapult,Area,8871.366,catapult_asic_area
Throughput,40000.0,catapult,Area,12054.322,catapult_asic_area
Throughput,41666.666666666664,catapult,Area,13574.246,catapult_asic_area
Throughput,40000.0,catapult,Area,14918.344,catapult_asic_area
Throughput,43478.260869565216,catapult,Area,11402.888,catapult_asic_area
Throughput,45454.545454545456,catapult,Area,9187.108,catapult_asic_area
