n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2
304,16,1,4,4,1,16,0,0.000231,893
305,16,1,4,4,2,1,0,0.000271,508
307,16,1,4,4,2,4,0,0.000287,623
308,16,1,4,4,2,8,0,0.000264,653
309,16,1,4,4,2,16,0,0.000267,995
310,16,1,4,4,3,1,0,0.00025,528
311,16,1,4,4,3,2,0,0.000334,711
312,16,1,4,4,3,4,0,0.000287,676
313,16,1,4,4,3,8,0,0.000272,648
314,16,1,4,4,3,16,0,0.000244,793
315,16,1,4,4,4,1,0,0.000259,537
316,16,1,4,4,4,2,0,0.00035,623
317,16,1,4,4,4,4,0,0.000302,590
318,16,1,4,4,4,8,0,0.000257,638
319,16,1,4,4,4,16,0,0.000233,675
320,16,2,1,1,1,1,0,1.8E-05,273
321,16,2,1,1,1,2,0,1.8E-05,434
322,16,2,1,1,1,4,0,1.7E-05,488
323,16,2,1,1,1,8,0,1.8E-05,479
324,16,2,1,1,1,16,0,1.4E-05,333
325,16,2,1,1,2,1,0,1.9E-05,286
326,16,2,1,1,2,2,0,2.1E-05,363
327,16,2,1,1,2,4,0,1.9E-05,432
328,16,2,1,1,2,8,0,1.7E-05,448
329,16,2,1,1,2,16,0,1.3E-05,297
330,16,2,1,1,3,1,0,1.9E-05,278
331,16,2,1,1,3,2,0,1.8E-05,447
332,16,2,1,1,3,4,0,1.8E-05,456
333,16,2,1,1,3,8,0,1.9E-05,475
334,16,2,1,1,3,16,0,1.1E-05,448
335,16,2,1,1,4,1,0,1.7E-05,290
336,16,2,1,1,4,2,0,1.9E-05,378
337,16,2,1,1,4,4,0,2E-05,351
338,16,2,1,1,4,8,0,1.6E-05,409
339,16,2,1,1,4,16,0,1.2E-05,251
340,16,2,1,2,1,1,0,2.7E-05,258
341,16,2,1,2,1,2,0,3.4E-05,425
342,16,2,1,2,1,4,0,2.6E-05,531
343,16,2,1,2,1,8,0,2.9E-05,477
344,16,2,1,2,1,16,0,2.4E-05,483
345,16,2,1,2,2,1,0,2.6E-05,269
346,16,2,1,2,2,2,0,3E-05,383
347,16,2,1,2,2,4,0,2.7E-05,454
348,16,2,1,2,2,8,0,2.6E-05,427
349,16,2,1,2,2,16,0,2.4E-05,493
350,16,2,1,2,3,1,0,2.7E-05,282
351,16,2,1,2,3,2,0,3.6E-05,486
352,16,2,1,2,3,4,0,3E-05,495
353,16,2,1,2,3,8,0,2.8E-05,457
354,16,2,1,2,3,16,0,2.5E-05,633
355,16,2,1,2,4,1,0,3.3E-05,248
356,16,2,1,2,4,2,0,3.7E-05,405
357,16,2,1,2,4,4,0,2.8E-05,393
358,16,2,1,2,4,8,0,2.6E-05,411
359,16,2,1,2,4,16,0,2.3E-05,407
360,16,2,1,3,1,1,0,4.1E-05,362
361,16,2,1,3,1,2,0,5.5E-05,486
362,16,2,1,3,1,4,0,5.1E-05,540
363,16,2,1,3,1,8,0,5.6E-05,527
364,16,2,1,3,1,16,0,3.9E-05,679
365,16,2,1,3,2,1,0,4.1E-05,313
366,16,2,1,3,2,2,0,5.3E-05,429
367,16,2,1,3,2,4,0,5E-05,427
368,16,2,1,3,2,8,0,5.1E-05,465
369,16,2,1,3,2,16,0,3.8E-05,624
370,16,2,1,3,3,1,0,4.6E-05,340
371,16,2,1,3,3,2,0,5.7E-05,552
372,16,2,1,3,3,4,0,5.1E-05,505
373,16,2,1,3,3,8,0,5.7E-05,540
375,16,2,1,3,4,1,0,4.4E-05,313
376,16,2,1,3,4,2,0,5.2E-05,429
377,16,2,1,3,4,4,0,5.3E-05,400
378,16,2,1,3,4,8,0,5.2E-05,455
379,16,2,1,3,4,16,0,3.7E-05,606
380,16,2,1,4,1,1,0,5.8E-05,368
381,16,2,1,4,1,2,0,7.3E-05,578
382,16,2,1,4,1,4,0,6.4E-05,621
383,16,2,1,4,1,8,0,5.6E-05,606
384,16,2,1,4,1,16,0,5.8E-05,732
385,16,2,1,4,2,1,0,5.6E-05,348
386,16,2,1,4,2,2,0,7.5E-05,483
387,16,2,1,4,2,4,0,6.3E-05,602
388,16,2,1,4,2,8,0,5.7E-05,508
389,16,2,1,4,2,16,0,5.9E-05,707
390,16,2,1,4,3,1,0,5.8E-05,362
391,16,2,1,4,3,2,0,8.2E-05,602
392,16,2,1,4,3,4,0,7E-05,603
393,16,2,1,4,3,8,0,5.8E-05,604
394,16,2,1,4,3,16,0,5.7E-05,808
395,16,2,1,4,4,1,0,5.2E-05,366
396,16,2,1,4,4,2,0,6.9E-05,525
397,16,2,1,4,4,4,0,6.4E-05,490
398,16,2,1,4,4,8,0,5.7E-05,503
399,16,2,1,4,4,16,0,5.9E-05,697
400,16,2,2,1,1,1,0,3.5E-05,314
401,16,2,2,1,1,2,0,4.5E-05,524
402,16,2,2,1,1,4,0,4.9E-05,506
403,16,2,2,1,1,8,0,4.8E-05,569
404,16,2,2,1,1,16,0,2.4E-05,354
405,16,2,2,1,2,1,0,3.4E-05,308
406,16,2,2,1,2,2,0,4.5E-05,516
407,16,2,2,1,2,4,0,4.4E-05,496
408,16,2,2,1,2,8,0,4.6E-05,524
409,16,2,2,1,2,16,0,2.4E-05,380
410,16,2,2,1,3,1,0,4E-05,363
411,16,2,2,1,3,2,0,4.5E-05,666
412,16,2,2,1,3,4,0,4.5E-05,538
413,16,2,2,1,3,8,0,4.8E-05,581
414,16,2,2,1,3,16,0,2.4E-05,429
415,16,2,2,1,4,1,0,3.7E-05,291
416,16,2,2,1,4,2,0,4.4E-05,475
417,16,2,2,1,4,4,0,4.8E-05,409
418,16,2,2,1,4,8,0,4.6E-05,486
419,16,2,2,1,4,16,0,2.3E-05,316
420,16,2,2,2,1,1,0,6.4E-05,360
421,16,2,2,2,1,2,0,8.1E-05,514
422,16,2,2,2,1,4,0,6.2E-05,597
423,16,2,2,2,1,8,0,7.1E-05,589
424,16,2,2,2,1,16,0,5.1E-05,537
425,16,2,2,2,2,1,0,6.4E-05,338
426,16,2,2,2,2,2,0,8.2E-05,492
427,16,2,2,2,2,4,0,5.9E-05,519
428,16,2,2,2,2,8,0,6.5E-05,514
429,16,2,2,2,2,16,0,5E-05,549
430,16,2,2,2,3,1,0,6.5E-05,331
431,16,2,2,2,3,2,0,8.7E-05,604
432,16,2,2,2,3,4,0,6.2E-05,533
433,16,2,2,2,3,8,0,6.8E-05,562
434,16,2,2,2,3,16,0,4.8E-05,611
435,16,2,2,2,4,1,0,6.6E-05,346
436,16,2,2,2,4,2,0,7.8E-05,524
437,16,2,2,2,4,4,0,6.4E-05,512
438,16,2,2,2,4,8,0,6.8E-05,506
439,16,2,2,2,4,16,0,5.1E-05,491
440,16,2,2,3,1,1,0,9.9E-05,535
441,16,2,2,3,1,2,0,0.000121,685
442,16,2,2,3,1,4,0,0.000117,665
443,16,2,2,3,1,8,0,0.000117,653
444,16,2,2,3,1,16,0,8.6E-05,936
445,16,2,2,3,2,1,0,9.6E-05,529
446,16,2,2,3,2,2,0,0.000124,614
447,16,2,2,3,2,4,0,0.000121,592
448,16,2,2,3,2,8,0,0.000128,595
449,16,2,2,3,2,16,0,8.7E-05,760
450,16,2,2,3,3,1,0,1E-04,532
451,16,2,2,3,3,2,0,0.000126,709
452,16,2,2,3,3,4,0,0.000123,627
453,16,2,2,3,3,8,0,0.000125,640
454,16,2,2,3,3,16,0,8.8E-05,910
455,16,2,2,3,4,1,0,9.5E-05,497
456,16,2,2,3,4,2,0,0.000121,670
457,16,2,2,3,4,4,0,0.000126,501
458,16,2,2,3,4,8,0,0.00012,625
459,16,2,2,3,4,16,0,8.1E-05,860
460,16,2,2,4,1,1,0,0.000135,541
461,16,2,2,4,1,2,0,0.00018,736
462,16,2,2,4,1,4,0,0.000162,736
463,16,2,2,4,1,8,0,0.000126,693
464,16,2,2,4,1,16,0,0.000134,905
465,16,2,2,4,2,1,0,0.000134,545
466,16,2,2,4,2,2,0,0.000167,653
467,16,2,2,4,2,4,0,0.000157,668
468,16,2,2,4,2,8,0,0.000126,652
469,16,2,2,4,2,16,0,0.000135,883
470,16,2,2,4,3,1,0,0.000128,515
471,16,2,2,4,3,2,0,0.000169,724
472,16,2,2,4,3,4,0,0.000163,675
473,16,2,2,4,3,8,0,0.000129,658
474,16,2,2,4,3,16,0,0.000127,890
475,16,2,2,4,4,1,0,0.000133,541
476,16,2,2,4,4,2,0,0.000164,623
477,16,2,2,4,4,4,0,0.000162,647
478,16,2,2,4,4,8,0,0.000126,612
479,16,2,2,4,4,16,0,0.000124,773
480,16,2,3,1,1,1,0,6.5E-05,419
481,16,2,3,1,1,2,0,6.7E-05,523
482,16,2,3,1,1,4,0,6.4E-05,567
483,16,2,3,1,1,8,0,6.6E-05,576
484,16,2,3,1,1,16,0,4.5E-05,399
485,16,2,3,1,2,1,0,5.9E-05,400
486,16,2,3,1,2,2,0,6.6E-05,461
487,16,2,3,1,2,4,0,6.2E-05,452
488,16,2,3,1,2,8,0,7.6E-05,531
489,16,2,3,1,2,16,0,4.4E-05,347
490,16,2,3,1,3,1,0,6.1E-05,396
491,16,2,3,1,3,2,0,7.5E-05,618
492,16,2,3,1,3,4,0,6.9E-05,474
493,16,2,3,1,3,8,0,7.2E-05,580
494,16,2,3,1,3,16,0,4.8E-05,558
495,16,2,3,1,4,1,0,6.3E-05,419
496,16,2,3,1,4,2,0,6.6E-05,499
497,16,2,3,1,4,4,0,7E-05,428
498,16,2,3,1,4,8,0,7E-05,489
499,16,2,3,1,4,16,0,4.4E-05,297
500,16,2,3,2,1,1,0,0.000106,316
501,16,2,3,2,1,2,0,0.000128,616
502,16,2,3,2,1,4,0,9.2E-05,578
503,16,2,3,2,1,8,0,0.000102,592
504,16,2,3,2,1,16,0,7.9E-05,575
505,16,2,3,2,2,1,0,0.000105,339
506,16,2,3,2,2,2,0,0.000135,572
507,16,2,3,2,2,4,0,9.5E-05,520
508,16,2,3,2,2,8,0,0.000107,536
509,16,2,3,2,2,16,0,7.7E-05,527
510,16,2,3,2,3,1,0,0.000107,331
511,16,2,3,2,3,2,0,0.00013,622
512,16,2,3,2,3,4,0,0.000117,545
513,16,2,3,2,3,8,0,0.000103,566
514,16,2,3,2,3,16,0,7.7E-05,668
515,16,2,3,2,4,1,0,0.000106,314
516,16,2,3,2,4,2,0,0.000125,549
517,16,2,3,2,4,4,0,9.5E-05,464
518,16,2,3,2,4,8,0,0.000101,474
519,16,2,3,2,4,16,0,7.7E-05,471
520,16,2,3,3,1,1,0,0.000157,510
521,16,2,3,3,1,2,0,0.000199,737
522,16,2,3,3,1,4,0,0.000178,654
523,16,2,3,3,1,8,0,0.000182,701
525,16,2,3,3,2,1,0,0.000157,501
526,16,2,3,3,2,2,0,0.000182,738
527,16,2,3,3,2,4,0,0.000181,634
528,16,2,3,3,2,8,0,0.00018,652
529,16,2,3,3,2,16,0,0.000126,803
530,16,2,3,3,3,1,0,0.000154,520
531,16,2,3,3,3,2,0,0.000191,810
532,16,2,3,3,3,4,0,0.000184,693
533,16,2,3,3,3,8,0,0.000195,692
534,16,2,3,3,3,16,0,0.000131,887
535,16,2,3,3,4,1,0,0.000153,514
536,16,2,3,3,4,2,0,0.000198,734
537,16,2,3,3,4,4,0,0.000195,564
538,16,2,3,3,4,8,0,0.000178,609
539,16,2,3,3,4,16,0,0.000134,704
540,16,2,3,4,1,1,0,0.000196,595
541,16,2,3,4,1,2,0,0.000246,801
542,16,2,3,4,1,4,0,0.000225,799
543,16,2,3,4,1,8,0,0.0002,765
544,16,2,3,4,1,16,0,0.000191,880
545,16,2,3,4,2,1,0,0.000188,598
546,16,2,3,4,2,2,0,0.000247,757
548,16,2,3,4,2,8,0,0.000184,698
549,16,2,3,4,2,16,0,0.000184,808
550,16,2,3,4,3,1,0,0.000195,609
551,16,2,3,4,3,2,0,0.000256,861
552,16,2,3,4,3,4,0,0.000222,704
553,16,2,3,4,3,8,0,0.000207,761
554,16,2,3,4,3,16,0,0.000183,996
555,16,2,3,4,4,1,0,0.000192,590
556,16,2,3,4,4,2,0,0.000239,771
557,16,2,3,4,4,4,0,0.000211,667
558,16,2,3,4,4,8,0,0.000194,722
559,16,2,3,4,4,16,0,0.000182,806
560,16,2,4,1,1,1,0,8.8E-05,478
561,16,2,4,1,1,2,0,0.000101,710
562,16,2,4,1,1,4,0,9.3E-05,663
563,16,2,4,1,1,8,0,0.000101,748
564,16,2,4,1,1,16,0,6.8E-05,435
565,16,2,4,1,2,1,0,8.4E-05,492
566,16,2,4,1,2,2,0,9.2E-05,642
567,16,2,4,1,2,4,0,9.2E-05,589
568,16,2,4,1,2,8,0,9.5E-05,647
569,16,2,4,1,2,16,0,5.8E-05,489
570,16,2,4,1,3,1,0,8.7E-05,494
571,16,2,4,1,3,2,0,9.5E-05,708
572,16,2,4,1,3,4,0,1E-04,549
573,16,2,4,1,3,8,0,0.000103,667
