n,knob_PARTITION_FACTOR,knob_SUBDIM_X,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,obj1,obj2
0746,2,32,6,3,74.771,1810
0747,2,32,6,4,74.222,1756
0748,2,32,6,5,82.433,2657
0749,2,32,6,6,87.253,3033
0750,2,32,6,7,83.260,3686
0751,2,32,6,8,73.903,3022
0752,2,32,7,1,71.895,719
0753,2,32,7,2,72.656,1130
0754,2,32,7,3,75.325,2011
0755,2,32,7,4,74.433,2138
0756,2,32,7,5,87.563,3191
0757,2,32,7,6,86.784,3526
0758,2,32,7,7,84.064,4220
0759,2,32,7,8,78.258,3663
0760,2,32,8,1,72.381,647
0761,2,32,8,2,74.009,1160
0762,2,32,8,3,76.933,2132
0763,2,32,8,4,71.832,2091
0764,2,32,8,5,85.450,3454
0765,2,32,8,6,86.314,3812
0766,2,32,8,7,86.822,4474
0767,2,32,8,8,73.516,3889
0768,4,1,1,1,72.715,187
0769,4,1,1,2,72.715,187
0770,4,1,1,3,72.715,187
0771,4,1,1,4,72.715,187
0772,4,1,1,5,72.715,187
0773,4,1,1,6,72.715,187
0774,4,1,1,7,72.715,187
0775,4,1,1,8,72.715,187
0776,4,1,2,1,69.436,271
0777,4,1,2,2,69.436,271
0778,4,1,2,3,69.436,271
0779,4,1,2,4,69.436,271
0780,4,1,2,5,69.436,271
0781,4,1,2,6,69.436,271
0782,4,1,2,7,69.436,271
0783,4,1,2,8,69.436,271
0784,4,1,3,1,72.538,347
0785,4,1,3,2,72.538,347
0786,4,1,3,3,72.538,347
0787,4,1,3,4,72.538,347
0788,4,1,3,5,72.538,347
0789,4,1,3,6,72.538,347
0790,4,1,3,7,72.538,347
0791,4,1,3,8,72.538,347
0792,4,1,4,1,73.500,376
0793,4,1,4,2,73.500,376
0794,4,1,4,3,73.500,376
0795,4,1,4,4,73.500,376
