n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0193,2,2,1,4,256,2,0,0.000024,4953.984,240
0194,2,2,1,4,128,1,0,0.000023,5690.006,273
0195,2,2,1,4,128,2,0,0.000024,5703.040,286
0196,2,2,1,4,64,1,0,0.000023,6069.588,299
0197,2,2,1,4,64,2,0,0.000025,6189.820,311
0198,2,2,1,4,32,1,0,0.000024,7574.882,339
0199,2,2,1,4,32,2,0,0.000025,7868.546,353
0200,2,2,2,1,512,1,0,0.000055,4263.980,212
0201,2,2,2,1,512,2,0,0.000059,4212.642,212
0202,2,2,2,1,256,1,0,0.000055,4564.028,214
0203,2,2,2,1,256,2,0,0.000057,4560.836,214
0204,2,2,2,1,128,1,0,0.000056,4975.530,218
0205,2,2,2,1,128,2,0,0.000059,4978.456,218
0206,2,2,2,1,64,1,0,0.000056,5551.952,231
0207,2,2,2,1,64,2,0,0.000060,5427.464,231
0208,2,2,2,1,32,1,0,0.000057,6935.684,252
0209,2,2,2,1,32,2,0,0.000061,6806.940,252
0210,2,2,2,2,512,1,0,0.000021,4138.960,203
0211,2,2,2,2,512,2,0,0.000024,4711.658,256
0212,2,2,2,2,256,1,0,0.000022,5094.964,267
0213,2,2,2,2,256,2,0,0.000024,4953.984,240
0214,2,2,2,2,128,1,0,0.000023,5690.006,273
0215,2,2,2,2,128,2,0,0.000024,5703.040,286
0216,2,2,2,2,64,1,0,0.000023,6069.588,299
0217,2,2,2,2,64,2,0,0.000025,6189.820,311
0218,2,2,2,2,32,1,0,0.000024,7574.882,339
0219,2,2,2,2,32,2,0,0.000025,7868.546,353
0220,2,2,2,3,512,1,0,0.000021,4138.960,203
0221,2,2,2,3,512,2,0,0.000024,4711.658,256
0222,2,2,2,3,256,1,0,0.000022,5094.964,267
0223,2,2,2,3,256,2,0,0.000024,4953.984,240
0224,2,2,2,3,128,1,0,0.000023,5690.006,273
0225,2,2,2,3,128,2,0,0.000024,5703.040,286
0226,2,2,2,3,64,1,0,0.000023,6069.588,299
0227,2,2,2,3,64,2,0,0.000025,6189.820,311
0228,2,2,2,3,32,1,0,0.000024,7574.882,339
0229,2,2,2,3,32,2,0,0.000025,7868.546,353
0230,2,2,2,4,512,1,0,0.000021,4138.960,203
0231,2,2,2,4,512,2,0,0.000024,4711.658,256
0232,2,2,2,4,256,1,0,0.000022,5094.964,267
0233,2,2,2,4,256,2,0,0.000024,4953.984,240
0234,2,2,2,4,128,1,0,0.000023,5690.006,273
0235,2,2,2,4,128,2,0,0.000024,5703.040,286
0236,2,2,2,4,64,1,0,0.000023,6069.588,299
0237,2,2,2,4,64,2,0,0.000025,6189.820,311
0238,2,2,2,4,32,1,0,0.000024,7574.882,339
0239,2,2,2,4,32,2,0,0.000025,7868.546,353
0240,2,2,3,1,512,1,0,0.000055,4263.980,212
0241,2,2,3,1,512,2,0,0.000059,4212.642,212
0242,2,2,3,1,256,1,0,0.000055,4564.028,214
0243,2,2,3,1,256,2,0,0.000057,4560.836,214
0244,2,2,3,1,128,1,0,0.000056,4975.530,218
0245,2,2,3,1,128,2,0,0.000059,4978.456,218
0246,2,2,3,1,64,1,0,0.000056,5551.952,231
0247,2,2,3,1,64,2,0,0.000060,5427.464,231
0248,2,2,3,1,32,1,0,0.000057,6935.684,252
0249,2,2,3,1,32,2,0,0.000061,6806.940,252
0250,2,2,3,2,512,1,0,0.000021,4138.960,203
0251,2,2,3,2,512,2,0,0.000024,4711.658,256
0252,2,2,3,2,256,1,0,0.000022,5094.964,267
0253,2,2,3,2,256,2,0,0.000024,4953.984,240
0254,2,2,3,2,128,1,0,0.000023,5690.006,273
0255,2,2,3,2,128,2,0,0.000024,5703.040,286
0256,2,2,3,2,64,1,0,0.000023,6069.588,299
0257,2,2,3,2,64,2,0,0.000025,6189.820,311
0258,2,2,3,2,32,1,0,0.000024,7574.882,339
0259,2,2,3,2,32,2,0,0.000025,7868.546,353
0260,2,2,3,3,512,1,0,0.000021,4138.960,203
0261,2,2,3,3,512,2,0,0.000024,4711.658,256
0262,2,2,3,3,256,1,0,0.000022,5094.964,267
0263,2,2,3,3,256,2,0,0.000024,4953.984,240
0264,2,2,3,3,128,1,0,0.000023,5690.006,273
0265,2,2,3,3,128,2,0,0.000024,5703.040,286
0266,2,2,3,3,64,1,0,0.000023,6069.588,299
0267,2,2,3,3,64,2,0,0.000025,6189.820,311
0268,2,2,3,3,32,1,0,0.000024,7574.882,339
0269,2,2,3,3,32,2,0,0.000025,7868.546,353
0270,2,2,3,4,512,1,0,0.000021,4138.960,203
0271,2,2,3,4,512,2,0,0.000024,4711.658,256
0272,2,2,3,4,256,1,0,0.000022,5094.964,267
0273,2,2,3,4,256,2,0,0.000024,4953.984,240
0274,2,2,3,4,128,1,0,0.000023,5690.006,273
0275,2,2,3,4,128,2,0,0.000024,5703.040,286
0276,2,2,3,4,64,1,0,0.000023,6069.588,299
0277,2,2,3,4,64,2,0,0.000025,6189.820,311
0278,2,2,3,4,32,1,0,0.000024,7574.882,339
0279,2,2,3,4,32,2,0,0.000025,7868.546,353
0280,2,2,4,1,512,1,0,0.000055,4263.980,212
0281,2,2,4,1,512,2,0,0.000059,4212.642,212
0282,2,2,4,1,256,1,0,0.000055,4564.028,214
0283,2,2,4,1,256,2,0,0.000057,4560.836,214
0284,2,2,4,1,128,1,0,0.000056,4975.530,218
0285,2,2,4,1,128,2,0,0.000059,4978.456,218
0286,2,2,4,1,64,1,0,0.000056,5551.952,231
0287,2,2,4,1,64,2,0,0.000060,5427.464,231
0288,2,2,4,1,32,1,0,0.000057,6935.684,252
0289,2,2,4,1,32,2,0,0.000061,6806.940,252
0290,2,2,4,2,512,1,0,0.000021,4138.960,203
0291,2,2,4,2,512,2,0,0.000024,4711.658,256
0292,2,2,4,2,256,1,0,0.000022,5094.964,267
0293,2,2,4,2,256,2,0,0.000024,4953.984,240
0294,2,2,4,2,128,1,0,0.000023,5690.006,273
0295,2,2,4,2,128,2,0,0.000024,5703.040,286
0296,2,2,4,2,64,1,0,0.000023,6069.588,299
0297,2,2,4,2,64,2,0,0.000025,6189.820,311
0298,2,2,4,2,32,1,0,0.000024,7574.882,339
0299,2,2,4,2,32,2,0,0.000025,7868.546,353
0300,2,2,4,3,512,1,0,0.000021,4138.960,203
0301,2,2,4,3,512,2,0,0.000024,4711.658,256
0302,2,2,4,3,256,1,0,0.000022,5094.964,267
0303,2,2,4,3,256,2,0,0.000024,4953.984,240
0304,2,2,4,3,128,1,0,0.000023,5690.006,273
0305,2,2,4,3,128,2,0,0.000024,5703.040,286
0306,2,2,4,3,64,1,0,0.000023,6069.588,299
0307,2,2,4,3,64,2,0,0.000025,6189.820,311
0308,2,2,4,3,32,1,0,0.000024,7574.882,339
0309,2,2,4,3,32,2,0,0.000025,7868.546,353
0310,2,2,4,4,512,1,0,0.000021,4138.960,203
0311,2,2,4,4,512,2,0,0.000024,4711.658,256
0312,2,2,4,4,256,1,0,0.000022,5094.964,267
0313,2,2,4,4,256,2,0,0.000024,4953.984,240
0314,2,2,4,4,128,1,0,0.000023,5690.006,273
0315,2,2,4,4,128,2,0,0.000024,5703.040,286
0316,2,2,4,4,64,1,0,0.000023,6069.588,299
0317,2,2,4,4,64,2,0,0.000025,6189.820,311
0318,2,2,4,4,32,1,0,0.000024,7574.882,339
0319,2,2,4,4,32,2,0,0.000025,7868.546,353
0320,2,3,1,1,512,1,0,0.000055,4560.836,224
0321,2,3,1,1,512,2,0,0.000058,4648.616,256
0322,2,3,1,1,256,1,0,0.000055,4832.156,226
0323,2,3,1,1,256,2,0,0.000058,4997.342,258
0324,2,3,1,1,128,1,0,0.000056,5375.328,230
0325,2,3,1,1,128,2,0,0.000061,5522.426,262
0326,2,3,1,1,64,1,0,0.000056,5914.776,245
0327,2,3,1,1,64,2,0,0.000060,5936.322,277
0328,2,3,1,1,32,1,0,0.000057,7394.800,280
0329,2,3,1,1,32,2,0,0.000061,7462.896,312
