n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
164,2,2,1,1,128,1,0,5.6E-05,4975.53
165,2,2,1,1,128,2,0,5.9E-05,4978.456
166,2,2,1,1,64,1,0,5.6E-05,5551.952
167,2,2,1,1,64,2,0,6E-05,5427.464
168,2,2,1,1,32,1,0,5.7E-05,6935.684
169,2,2,1,1,32,2,0,6.1E-05,6806.94
170,2,2,1,2,512,1,0,2.1E-05,4138.96
171,2,2,1,2,512,2,0,2.4E-05,4711.658
172,2,2,1,2,256,1,0,2.2E-05,5094.964
173,2,2,1,2,256,2,0,2.4E-05,4953.984
174,2,2,1,2,128,1,0,2.3E-05,5690.006
175,2,2,1,2,128,2,0,2.4E-05,5703.04
176,2,2,1,2,64,1,0,2.3E-05,6069.588
177,2,2,1,2,64,2,0,2.5E-05,6189.82
178,2,2,1,2,32,1,0,2.4E-05,7574.882
179,2,2,1,2,32,2,0,2.5E-05,7868.546
180,2,2,1,3,512,1,0,2.1E-05,4138.96
181,2,2,1,3,512,2,0,2.4E-05,4711.658
182,2,2,1,3,256,1,0,2.2E-05,5094.964
183,2,2,1,3,256,2,0,2.4E-05,4953.984
184,2,2,1,3,128,1,0,2.3E-05,5690.006
185,2,2,1,3,128,2,0,2.4E-05,5703.04
186,2,2,1,3,64,1,0,2.3E-05,6069.588
187,2,2,1,3,64,2,0,2.5E-05,6189.82
188,2,2,1,3,32,1,0,2.4E-05,7574.882
189,2,2,1,3,32,2,0,2.5E-05,7868.546
190,2,2,1,4,512,1,0,2.1E-05,4138.96
191,2,2,1,4,512,2,0,2.4E-05,4711.658
192,2,2,1,4,256,1,0,2.2E-05,5094.964
193,2,2,1,4,256,2,0,2.4E-05,4953.984
194,2,2,1,4,128,1,0,2.3E-05,5690.006
195,2,2,1,4,128,2,0,2.4E-05,5703.04
196,2,2,1,4,64,1,0,2.3E-05,6069.588
197,2,2,1,4,64,2,0,2.5E-05,6189.82
198,2,2,1,4,32,1,0,2.4E-05,7574.882
199,2,2,1,4,32,2,0,2.5E-05,7868.546
200,2,2,2,1,512,1,0,5.5E-05,4263.98
201,2,2,2,1,512,2,0,5.9E-05,4212.642
202,2,2,2,1,256,1,0,5.5E-05,4564.028
203,2,2,2,1,256,2,0,5.7E-05,4560.836
204,2,2,2,1,128,1,0,5.6E-05,4975.53
205,2,2,2,1,128,2,0,5.9E-05,4978.456
206,2,2,2,1,64,1,0,5.6E-05,5551.952
207,2,2,2,1,64,2,0,6E-05,5427.464
208,2,2,2,1,32,1,0,5.7E-05,6935.684
209,2,2,2,1,32,2,0,6.1E-05,6806.94
210,2,2,2,2,512,1,0,2.1E-05,4138.96
211,2,2,2,2,512,2,0,2.4E-05,4711.658
212,2,2,2,2,256,1,0,2.2E-05,5094.964
213,2,2,2,2,256,2,0,2.4E-05,4953.984
214,2,2,2,2,128,1,0,2.3E-05,5690.006
215,2,2,2,2,128,2,0,2.4E-05,5703.04
216,2,2,2,2,64,1,0,2.3E-05,6069.588
217,2,2,2,2,64,2,0,2.5E-05,6189.82
218,2,2,2,2,32,1,0,2.4E-05,7574.882
219,2,2,2,2,32,2,0,2.5E-05,7868.546
220,2,2,2,3,512,1,0,2.1E-05,4138.96
221,2,2,2,3,512,2,0,2.4E-05,4711.658
222,2,2,2,3,256,1,0,2.2E-05,5094.964
223,2,2,2,3,256,2,0,2.4E-05,4953.984
224,2,2,2,3,128,1,0,2.3E-05,5690.006
225,2,2,2,3,128,2,0,2.4E-05,5703.04
226,2,2,2,3,64,1,0,2.3E-05,6069.588
227,2,2,2,3,64,2,0,2.5E-05,6189.82
228,2,2,2,3,32,1,0,2.4E-05,7574.882
229,2,2,2,3,32,2,0,2.5E-05,7868.546
230,2,2,2,4,512,1,0,2.1E-05,4138.96
231,2,2,2,4,512,2,0,2.4E-05,4711.658
232,2,2,2,4,256,1,0,2.2E-05,5094.964
233,2,2,2,4,256,2,0,2.4E-05,4953.984
234,2,2,2,4,128,1,0,2.3E-05,5690.006
235,2,2,2,4,128,2,0,2.4E-05,5703.04
236,2,2,2,4,64,1,0,2.3E-05,6069.588
237,2,2,2,4,64,2,0,2.5E-05,6189.82
238,2,2,2,4,32,1,0,2.4E-05,7574.882
239,2,2,2,4,32,2,0,2.5E-05,7868.546
240,2,2,3,1,512,1,0,5.5E-05,4263.98
241,2,2,3,1,512,2,0,5.9E-05,4212.642
242,2,2,3,1,256,1,0,5.5E-05,4564.028
243,2,2,3,1,256,2,0,5.7E-05,4560.836
244,2,2,3,1,128,1,0,5.6E-05,4975.53
245,2,2,3,1,128,2,0,5.9E-05,4978.456
246,2,2,3,1,64,1,0,5.6E-05,5551.952
247,2,2,3,1,64,2,0,6E-05,5427.464
248,2,2,3,1,32,1,0,5.7E-05,6935.684
249,2,2,3,1,32,2,0,6.1E-05,6806.94
250,2,2,3,2,512,1,0,2.1E-05,4138.96
