n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
272,256,2,6,3,0,65536,0.000396,1531.096
273,256,2,7,1,0,1024,0.000334,1175.188
274,256,2,7,1,0,2048,0.000356,1168.538
275,256,2,7,1,0,4096,0.000353,1168.272
276,256,2,7,1,0,8192,0.000374,1165.346
277,256,2,7,1,0,16384,0.000359,1195.404
278,256,2,7,1,0,32768,0.000353,1182.104
279,256,2,7,1,0,65536,0.000361,1100.708
280,256,2,7,2,0,1024,0.000232,1254.19
281,256,2,7,2,0,2048,0.000235,1251.53
282,256,2,7,2,0,4096,0.000243,1242.486
283,256,2,7,2,0,8192,0.000234,1243.284
284,256,2,7,2,0,16384,0.00025,1237.166
285,256,2,7,2,0,32768,0.000222,1219.344
286,256,2,7,2,0,65536,0.000211,969.038
287,256,2,7,3,0,1024,0.0004,1324.946
288,256,2,7,3,0,2048,0.000399,1314.04
289,256,2,7,3,0,4096,0.0004,1327.872
290,256,2,7,3,0,8192,0.00039,1316.966
291,256,2,7,3,0,16384,0.000415,1333.724
292,256,2,7,3,0,32768,0.000395,1490.664
293,256,2,7,3,0,65536,0.000432,1612.758
294,256,3,1,1,0,1024,0.000269,890.302
295,256,3,1,1,0,2048,0.000273,897.75
296,256,3,1,1,0,4096,0.000275,878.864
297,256,3,1,1,0,8192,0.000293,984.998
298,256,3,1,1,0,16384,0.000274,869.022
299,256,3,1,1,0,32768,0.000274,864.766
300,256,3,1,1,0,65536,0.000274,864.766
301,256,3,1,2,0,1024,0.000439,1130.5
302,256,3,1,2,0,2048,0.000439,1129.702
303,256,3,1,2,0,4096,0.000439,1129.702
304,256,3,1,2,0,8192,0.000437,1126.244
305,256,3,1,2,0,16384,0.00041,1157.898
306,256,3,1,2,0,32768,0.000423,1094.856
307,256,3,1,2,0,65536,0.000438,1030.484
308,256,3,1,3,0,1024,0.000454,1218.014
309,256,3,1,3,0,2048,0.000459,1189.286
310,256,3,1,3,0,4096,0.000408,1292.76
311,256,3,1,3,0,8192,0.00041,1299.942
312,256,3,1,3,0,16384,0.000411,1366.176
313,256,3,1,3,0,32768,0.000408,1290.632
314,256,3,1,3,0,65536,0.000448,1247.274
315,256,3,2,1,0,1024,0.00025,868.49
316,256,3,2,1,0,2048,0.000253,871.416
317,256,3,2,1,0,4096,0.000256,867.16
318,256,3,2,1,0,8192,0.000251,912.646
319,256,3,2,1,0,16384,0.00025,874.874
320,256,3,2,1,0,32768,0.000253,853.86
321,256,3,2,1,0,65536,0.000243,746.662
322,256,3,2,2,0,1024,0.000372,1013.726
323,256,3,2,2,0,2048,0.000362,1009.47
324,256,3,2,2,0,4096,0.000362,1010.002
325,256,3,2,2,0,8192,0.000362,1003.086
326,256,3,2,2,0,16384,0.00037,1033.676
327,256,3,2,2,0,32768,0.000375,998.83
328,256,3,2,2,0,65536,0.000365,1000.426
329,256,3,2,3,0,1024,0.000395,1271.48
330,256,3,2,3,0,2048,0.00038,1258.978
331,256,3,2,3,0,4096,0.000384,1262.968
332,256,3,2,3,0,8192,0.000387,1289.834
333,256,3,2,3,0,16384,0.000393,1313.508
334,256,3,2,3,0,32768,0.000383,1265.894
335,256,3,2,3,0,65536,0.000419,1128.904
336,256,3,3,1,0,1024,0.000287,1279.46
337,256,3,3,1,0,2048,0.000287,1279.46
338,256,3,3,1,0,4096,0.000289,1281.056
339,256,3,3,1,0,8192,0.000305,1288.504
340,256,3,3,1,0,16384,0.000291,1195.67
341,256,3,3,1,0,32768,0.00029,1194.872
342,256,3,3,1,0,65536,0.000307,1169.336
343,256,3,3,2,0,1024,0.000391,1230.782
344,256,3,3,2,0,2048,0.000404,1234.506
345,256,3,3,2,0,4096,0.000404,1233.442
346,256,3,3,2,0,8192,0.000408,1232.112
