n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0452,256,4,1,2,0,16384,0.000410,1157.898
0453,256,4,1,2,0,32768,0.000423,1094.856
0454,256,4,1,2,0,65536,0.000438,1030.484
0455,256,4,1,3,0,1024,0.000454,1218.014
0456,256,4,1,3,0,2048,0.000459,1189.286
0457,256,4,1,3,0,4096,0.000408,1292.760
0458,256,4,1,3,0,8192,0.000410,1299.942
0459,256,4,1,3,0,16384,0.000411,1366.176
0460,256,4,1,3,0,32768,0.000408,1290.632
0461,256,4,1,3,0,65536,0.000448,1247.274
0462,256,4,2,1,0,1024,0.000250,868.490
0463,256,4,2,1,0,2048,0.000253,871.416
0464,256,4,2,1,0,4096,0.000256,867.160
0465,256,4,2,1,0,8192,0.000251,912.646
0466,256,4,2,1,0,16384,0.000250,874.874
0467,256,4,2,1,0,32768,0.000253,853.860
0468,256,4,2,1,0,65536,0.000243,746.662
0469,256,4,2,2,0,1024,0.000372,1013.726
0470,256,4,2,2,0,2048,0.000362,1009.470
0471,256,4,2,2,0,4096,0.000362,1010.002
0472,256,4,2,2,0,8192,0.000362,1003.086
0473,256,4,2,2,0,16384,0.000370,1033.676
0474,256,4,2,2,0,32768,0.000375,998.830
0475,256,4,2,2,0,65536,0.000365,1000.426
0476,256,4,2,3,0,1024,0.000395,1271.480
0477,256,4,2,3,0,2048,0.000380,1258.978
0478,256,4,2,3,0,4096,0.000384,1262.968
0479,256,4,2,3,0,8192,0.000387,1289.834
0480,256,4,2,3,0,16384,0.000393,1313.508
0481,256,4,2,3,0,32768,0.000383,1265.894
0482,256,4,2,3,0,65536,0.000419,1128.904
0483,256,4,3,1,0,1024,0.000287,1279.460
0484,256,4,3,1,0,2048,0.000287,1279.460
0485,256,4,3,1,0,4096,0.000289,1281.056
0486,256,4,3,1,0,8192,0.000305,1288.504
0487,256,4,3,1,0,16384,0.000291,1195.670
0488,256,4,3,1,0,32768,0.000290,1194.872
0489,256,4,3,1,0,65536,0.000307,1169.336
0490,256,4,3,2,0,1024,0.000391,1230.782
0491,256,4,3,2,0,2048,0.000404,1234.506
0492,256,4,3,2,0,4096,0.000404,1233.442
0493,256,4,3,2,0,8192,0.000408,1232.112
0494,256,4,3,2,0,16384,0.000409,1206.576
0495,256,4,3,2,0,32768,0.000407,1183.434
0496,256,4,3,2,0,65536,0.000396,1044.050
0497,256,4,3,3,0,1024,0.000469,1312.444
0498,256,4,3,3,0,2048,0.000479,1285.046
0499,256,4,3,3,0,4096,0.000445,1171.730
0500,256,4,3,3,0,8192,0.000435,1170.932
0501,256,4,3,3,0,16384,0.000434,1231.580
0502,256,4,3,3,0,32768,0.000422,1164.814
0503,256,4,3,3,0,65536,0.000424,1091.930
0504,256,4,4,1,0,1024,0.000292,1031.016
0505,256,4,4,1,0,2048,0.000304,1033.410
0506,256,4,4,1,0,4096,0.000296,1032.080
0507,256,4,4,1,0,8192,0.000304,1033.410
0508,256,4,4,1,0,16384,0.000303,1033.676
0509,256,4,4,1,0,32768,0.000307,1029.420
0510,256,4,4,1,0,65536,0.000314,948.290
0511,256,4,4,2,0,1024,0.000344,1312.710
0512,256,4,4,2,0,2048,0.000349,1284.514
0513,256,4,4,2,0,4096,0.000345,1290.366
0514,256,4,4,2,0,8192,0.000343,1289.568
0515,256,4,4,2,0,16384,0.000343,1307.922
0516,256,4,4,2,0,32768,0.000333,1282.918
0517,256,4,4,2,0,65536,0.000387,1062.404
0518,256,4,4,3,0,1024,0.000358,1257.382
