n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2
400,1024,1,2,2,2,8,0,262144,4.296435,115
401,1024,1,2,2,2,16,0,1048576,3.36672,33
402,1024,1,2,2,2,16,0,524288,2.412099,73
403,1024,1,2,2,2,16,0,262144,2.381174,104
404,1024,1,2,2,4,1,0,1048576,3.846734,37
405,1024,1,2,2,4,1,0,524288,4.966169,70
406,1024,1,2,2,4,1,0,262144,3.361128,99
407,1024,1,2,2,4,2,0,1048576,5.280194,37
408,1024,1,2,2,4,2,0,524288,4.044204,60
409,1024,1,2,2,4,2,0,262144,3.826325,116
410,1024,1,2,2,4,4,0,1048576,4.54394,44
411,1024,1,2,2,4,4,0,524288,3.708014,79
412,1024,1,2,2,4,4,0,262144,3.81674,149
413,1024,1,2,2,4,8,0,1048576,3.773689,41
414,1024,1,2,2,4,8,0,524288,2.843043,72
415,1024,1,2,2,4,8,0,262144,3.605581,125
416,1024,1,2,2,4,16,0,1048576,3.633007,38
417,1024,1,2,2,4,16,0,524288,3.932345,85
418,1024,1,2,2,4,16,0,262144,3.970468,156
419,1024,1,2,2,8,1,0,1048576,15.457636,33
420,1024,1,2,2,8,1,0,524288,8.676783,59
421,1024,1,2,2,8,1,0,262144,7.97387,112
422,1024,1,2,2,8,2,0,1048576,19.110871,35
423,1024,1,2,2,8,2,0,524288,21.029105,42
424,1024,1,2,2,8,2,0,262144,26.847746,105
425,1024,1,2,2,8,4,0,1048576,17.345278,30
426,1024,1,2,2,8,4,0,524288,7.509534,50
427,1024,1,2,2,8,4,0,262144,11.421478,104
428,1024,1,2,2,8,8,0,1048576,16.759359,30
429,1024,1,2,2,8,8,0,524288,7.029527,44
430,1024,1,2,2,8,8,0,262144,11.435995,104
431,1024,1,2,2,8,16,0,1048576,16.944539,33
432,1024,1,2,2,8,16,0,524288,7.728395,52
433,1024,1,2,2,8,16,0,262144,10.970503,112
434,1024,1,2,2,16,1,0,1048576,9.429752,39
435,1024,1,2,2,16,1,0,524288,8.714058,57
436,1024,1,2,2,16,1,0,262144,6.963509,97
437,1024,1,2,2,16,2,0,1048576,9.048287,30
438,1024,1,2,2,16,2,0,524288,8.627087,57
439,1024,1,2,2,16,2,0,262144,10.240435,95
