Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,4.853167419716478,catapult,Area,18922.975,catapult_asic_area
Throughput,5.025049873619995,catapult,Area,23288.566,catapult_asic_area
Throughput,4.814821947884368,catapult,Area,19372.248,catapult_asic_area
Throughput,4.881978177557547,catapult,Area,21198.072,catapult_asic_area
Throughput,4.696974678609507,catapult,Area,21635.109,catapult_asic_area
Throughput,4.895769076364206,catapult,Area,24456.307,catapult_asic_area
Throughput,4.644077871897756,catapult,Area,19762.736,catapult_asic_area
Throughput,4.91040957726284,catapult,Area,20234.619,catapult_asic_area
Throughput,4.874838520973992,catapult,Area,24567.494,catapult_asic_area
Throughput,5.127127116862608,catapult,Area,12989.312,catapult_asic_area
Throughput,4.8136167590881085,catapult,Area,13507.480,catapult_asic_area
Throughput,4.835987484464391,catapult,Area,14956.116,catapult_asic_area
Throughput,4.947384565149633,catapult,Area,17191.580,catapult_asic_area
Throughput,4.8507191191094075,catapult,Area,21827.693,catapult_asic_area
Throughput,4.890956133014443,catapult,Area,29024.590,catapult_asic_area
Throughput,4.7959790511635045,catapult,Area,16211.370,catapult_asic_area
Throughput,5.103681285311095,catapult,Area,16597.867,catapult_asic_area
Throughput,4.7631976298328595,catapult,Area,17343.998,catapult_asic_area
Throughput,4.867127421395892,catapult,Area,22081.191,catapult_asic_area
Throughput,4.590609449310491,catapult,Area,22982.400,catapult_asic_area
Throughput,4.839568310506703,catapult,Area,29756.889,catapult_asic_area
Throughput,4.432054390171476,catapult,Area,17968.832,catapult_asic_area
Throughput,4.853167419716478,catapult,Area,18922.975,catapult_asic_area
Throughput,5.025049873619995,catapult,Area,23288.566,catapult_asic_area
Throughput,4.237036785953376,catapult,Area,28529.830,catapult_asic_area
Throughput,4.814821947884368,catapult,Area,19372.248,catapult_asic_area
Throughput,4.881978177557547,catapult,Area,21198.072,catapult_asic_area
Throughput,4.696974678609507,catapult,Area,21635.109,catapult_asic_area
Throughput,4.895769076364206,catapult,Area,24456.307,catapult_asic_area
Throughput,4.644077871897756,catapult,Area,19762.736,catapult_asic_area
Throughput,4.91040957726284,catapult,Area,20234.619,catapult_asic_area
Throughput,4.874838520973992,catapult,Area,24567.494,catapult_asic_area
Throughput,5.127127116862608,catapult,Area,12989.312,catapult_asic_area
Throughput,4.8136167590881085,catapult,Area,13507.480,catapult_asic_area
Throughput,4.835987484464391,catapult,Area,14956.116,catapult_asic_area
Throughput,4.947384565149633,catapult,Area,17191.580,catapult_asic_area
Throughput,4.8507191191094075,catapult,Area,21827.693,catapult_asic_area
Throughput,4.890956133014443,catapult,Area,29024.590,catapult_asic_area
Throughput,4.7959790511635045,catapult,Area,16211.370,catapult_asic_area
Throughput,5.103681285311095,catapult,Area,16597.867,catapult_asic_area
Throughput,4.7631976298328595,catapult,Area,17343.998,catapult_asic_area
Throughput,4.867127421395892,catapult,Area,22081.191,catapult_asic_area
Throughput,4.590609449310491,catapult,Area,22982.400,catapult_asic_area
Throughput,4.432054390171476,catapult,Area,17968.832,catapult_asic_area
Throughput,4.853167419716478,catapult,Area,18922.975,catapult_asic_area
Throughput,5.025049873619995,catapult,Area,23288.566,catapult_asic_area
Throughput,4.237036785953376,catapult,Area,28529.830,catapult_asic_area
Throughput,4.814821947884368,catapult,Area,19372.248,catapult_asic_area
Throughput,4.881978177557547,catapult,Area,21198.072,catapult_asic_area
Throughput,4.696974678609507,catapult,Area,21635.109,catapult_asic_area
Throughput,4.895769076364206,catapult,Area,24456.307,catapult_asic_area
Throughput,4.644077871897756,catapult,Area,19762.736,catapult_asic_area
Throughput,4.91040957726284,catapult,Area,20234.619,catapult_asic_area
Throughput,5.127127116862608,catapult,Area,12989.312,catapult_asic_area
Throughput,4.8136167590881085,catapult,Area,13507.480,catapult_asic_area
Throughput,4.835987484464391,catapult,Area,14956.116,catapult_asic_area
Throughput,4.947384565149633,catapult,Area,17191.580,catapult_asic_area
Throughput,4.8507191191094075,catapult,Area,21827.693,catapult_asic_area
Throughput,4.890956133014443,catapult,Area,29024.590,catapult_asic_area
Throughput,4.7959790511635045,catapult,Area,16211.370,catapult_asic_area
Throughput,5.103681285311095,catapult,Area,16597.867,catapult_asic_area
Throughput,4.7631976298328595,catapult,Area,17343.998,catapult_asic_area
Throughput,4.867127421395892,catapult,Area,22081.191,catapult_asic_area
Throughput,4.590609449310491,catapult,Area,22982.400,catapult_asic_area
Throughput,4.839568310506703,catapult,Area,29756.889,catapult_asic_area
Throughput,4.432054390171476,catapult,Area,17968.832,catapult_asic_area
Throughput,4.853167419716478,catapult,Area,18922.975,catapult_asic_area
Throughput,5.025049873619995,catapult,Area,23288.566,catapult_asic_area
Throughput,4.259578727663834,catapult,Area,24342.725,catapult_asic_area
Throughput,4.237036785953376,catapult,Area,28529.830,catapult_asic_area
Throughput,4.814821947884368,catapult,Area,19372.248,catapult_asic_area
Throughput,4.881978177557547,catapult,Area,21198.072,catapult_asic_area
Throughput,4.696974678609507,catapult,Area,21635.109,catapult_asic_area
Throughput,4.895769076364206,catapult,Area,24456.307,catapult_asic_area
Throughput,4.644077871897756,catapult,Area,19762.736,catapult_asic_area
Throughput,4.91040957726284,catapult,Area,20234.619,catapult_asic_area
Throughput,4.503003503336726,catapult,Area,19068.742,catapult_asic_area
Throughput,4.503449642426099,catapult,Area,19126.465,catapult_asic_area
Throughput,4.723955651504344,catapult,Area,19047.994,catapult_asic_area
Throughput,4.653608640820525,catapult,Area,20290.480,catapult_asic_area
Throughput,4.213063023209764,catapult,Area,19862.486,catapult_asic_area
Throughput,4.50763141999405,catapult,Area,23061.668,catapult_asic_area
Throughput,3.8518872321493918,catapult,Area,21460.613,catapult_asic_area
Throughput,4.687749036667573,catapult,Area,24426.779,catapult_asic_area
Throughput,4.778584296616284,catapult,Area,24236.059,catapult_asic_area
Throughput,4.7484057227785765,catapult,Area,25284.631,catapult_asic_area
Throughput,4.69056352430181,catapult,Area,27159.133,catapult_asic_area
Throughput,4.670365596218872,catapult,Area,27432.314,catapult_asic_area
Throughput,4.775640413379434,catapult,Area,30452.744,catapult_asic_area
Throughput,4.476576314434721,catapult,Area,24937.234,catapult_asic_area
Throughput,4.462612234697702,catapult,Area,25487.588,catapult_asic_area
Throughput,4.446954503208478,catapult,Area,25672.457,catapult_asic_area
Throughput,4.616251050197113,catapult,Area,26664.639,catapult_asic_area
Throughput,4.61361014994233,catapult,Area,29982.723,catapult_asic_area
Throughput,4.499660275649188,catapult,Area,30108.273,catapult_asic_area
Throughput,4.6341779895082205,catapult,Area,29027.250,catapult_asic_area
Throughput,4.741111601025977,catapult,Area,28848.764,catapult_asic_area
Throughput,4.622588742147378,catapult,Area,30250.584,catapult_asic_area
Throughput,4.507123508705509,catapult,Area,32015.760,catapult_asic_area
Throughput,4.637079011189272,catapult,Area,33765.508,catapult_asic_area
Throughput,4.51720150332466,catapult,Area,28545.258,catapult_asic_area
Throughput,4.566939921905328,catapult,Area,28971.391,catapult_asic_area
Throughput,4.4875246813857474,catapult,Area,27957.133,catapult_asic_area
Throughput,4.673224758744771,catapult,Area,29977.137,catapult_asic_area
Throughput,4.617721893081267,catapult,Area,34438.754,catapult_asic_area
Throughput,4.250453735936311,catapult,Area,17405.178,catapult_asic_area
Throughput,4.2717700079027745,catapult,Area,18087.734,catapult_asic_area
Throughput,4.564105138725976,catapult,Area,20009.850,catapult_asic_area
Throughput,4.382505039880796,catapult,Area,22612.660,catapult_asic_area
Throughput,3.9409954166223304,catapult,Area,24140.830,catapult_asic_area
Throughput,4.102681923173178,catapult,Area,27845.678,catapult_asic_area
Throughput,4.755473550056115,catapult,Area,23659.369,catapult_asic_area
Throughput,4.837344297980409,catapult,Area,24695.973,catapult_asic_area
Throughput,4.783453079108747,catapult,Area,25911.857,catapult_asic_area
Throughput,4.7396285079175495,catapult,Area,29402.576,catapult_asic_area
Throughput,4.6467321855904835,catapult,Area,32683.420,catapult_asic_area
Throughput,4.3855032803564535,catapult,Area,23750.342,catapult_asic_area
Throughput,4.535394216465296,catapult,Area,24389.807,catapult_asic_area
Throughput,4.568337764620964,catapult,Area,25716.613,catapult_asic_area
Throughput,4.440714244479082,catapult,Area,29691.984,catapult_asic_area
Throughput,4.528288216488403,catapult,Area,35960.539,catapult_asic_area
Throughput,4.535949669102472,catapult,Area,28355.334,catapult_asic_area
Throughput,4.475614613776837,catapult,Area,30162.805,catapult_asic_area
Throughput,4.522717610557832,catapult,Area,30635.486,catapult_asic_area
Throughput,4.510152352946482,catapult,Area,33596.066,catapult_asic_area
Throughput,4.467317108037597,catapult,Area,25568.719,catapult_asic_area
Throughput,4.415946867327293,catapult,Area,26599.201,catapult_asic_area
Throughput,4.4321722519424,catapult,Area,28220.205,catapult_asic_area
Throughput,4.4932107585438406,catapult,Area,31230.795,catapult_asic_area
Throughput,4.704133522125892,catapult,Area,18748.213,catapult_asic_area
Throughput,4.584317051367273,catapult,Area,19325.697,catapult_asic_area
Throughput,4.5838547468107835,catapult,Area,21147.000,catapult_asic_area
Throughput,4.509196506274547,catapult,Area,23536.479,catapult_asic_area
Throughput,4.422489242294918,catapult,Area,29347.514,catapult_asic_area
Throughput,4.703160053239771,catapult,Area,45599.848,catapult_asic_area
Throughput,4.623165758985123,catapult,Area,23315.697,catapult_asic_area
Throughput,4.687463379192351,catapult,Area,24872.596,catapult_asic_area
Throughput,4.967956679417756,catapult,Area,27255.689,catapult_asic_area
Throughput,4.491192770976116,catapult,Area,28189.615,catapult_asic_area
Throughput,4.20164536432467,catapult,Area,32137.854,catapult_asic_area
Throughput,4.043753411916941,catapult,Area,24499.398,catapult_asic_area
Throughput,4.490063489497742,catapult,Area,27568.240,catapult_asic_area
Throughput,4.187972979198339,catapult,Area,28674.268,catapult_asic_area
Throughput,4.480467402359414,catapult,Area,26942.607,catapult_asic_area
Throughput,4.878572334592005,catapult,Area,27983.998,catapult_asic_area
Throughput,4.580117709025122,catapult,Area,31579.254,catapult_asic_area
Throughput,4.1850635083387395,catapult,Area,28089.865,catapult_asic_area
Throughput,4.704133522125892,catapult,Area,18748.213,catapult_asic_area
Throughput,4.584317051367273,catapult,Area,19325.697,catapult_asic_area
Throughput,4.5838547468107835,catapult,Area,21147.000,catapult_asic_area
Throughput,4.509196506274547,catapult,Area,23536.479,catapult_asic_area
Throughput,4.422489242294918,catapult,Area,29347.514,catapult_asic_area
Throughput,4.703160053239771,catapult,Area,45599.848,catapult_asic_area
Throughput,4.623165758985123,catapult,Area,23315.697,catapult_asic_area
