n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
266,1,2,3,4,460800,0,0.113855,31742.047,1064
267,1,2,3,4,230400,0,0.110854,32517.969,1099
268,1,2,3,4,115200,0,0.115187,37679.164,1443
269,1,2,3,4,57600,0,0.112559,44533.453,2118
273,1,2,3,5,460800,0,0.113248,34375.18,1114
274,1,2,3,5,230400,0,0.116448,36640.703,1220
280,1,2,4,1,460800,0,0.116705,24839.346,641
281,1,2,4,1,230400,0,0.116635,24850.518,650
282,1,2,4,1,115200,0,0.113785,25664.744,680
283,1,2,4,1,57600,0,0.114042,27712.412,738
284,1,2,4,1,28800,0,0.116494,31805.354,851
285,1,2,4,1,14400,0,0.115864,42923.887,1065
287,1,2,4,2,460800,0,0.112769,29288.994,859
288,1,2,4,2,230400,0,0.116459,28879.887,941
289,1,2,4,2,115200,0,0.115584,32793.809,1234
290,1,2,4,2,57600,0,0.11486,40147.91,1921
294,1,2,4,3,460800,0,0.115257,32007.248,992
295,1,2,4,3,230400,0,0.111847,34087.633,1096
296,1,2,4,3,115200,0,0.115864,37737.688,1305
298,1,2,4,3,28800,0,0.113575,60198.992,3504
301,1,2,4,4,460800,0,0.113855,31742.047,1064
302,1,2,4,4,230400,0,0.110854,32517.969,1099
303,1,2,4,4,115200,0,0.115187,37679.164,1443
304,1,2,4,4,57600,0,0.112559,44533.453,2118
308,1,2,4,5,460800,0,0.113248,34375.18,1114
309,1,2,4,5,230400,0,0.116448,36640.703,1220
315,1,2,5,1,460800,0,0.116705,24839.346,641
316,1,2,5,1,230400,0,0.116635,24850.518,650
317,1,2,5,1,115200,0,0.113785,25664.744,680
318,1,2,5,1,57600,0,0.114042,27712.412,738
319,1,2,5,1,28800,0,0.116494,31805.354,851
320,1,2,5,1,14400,0,0.115864,42923.887,1065
322,1,2,5,2,460800,0,0.112769,29288.994,859
323,1,2,5,2,230400,0,0.116459,28879.887,941
324,1,2,5,2,115200,0,0.115584,32793.809,1234
325,1,2,5,2,57600,0,0.11486,40147.91,1921
326,1,2,5,2,28800,0,0.114381,52658.156,3290
329,1,2,5,3,460800,0,0.115257,32007.248,992
330,1,2,5,3,230400,0,0.111847,34087.633,1096
331,1,2,5,3,115200,0,0.115864,37737.688,1305
333,1,2,5,3,28800,0,0.113575,60198.992,3504
336,1,2,5,4,460800,0,0.113855,31742.047,1064
337,1,2,5,4,230400,0,0.110854,32517.969,1099
338,1,2,5,4,115200,0,0.115187,37679.164,1443
339,1,2,5,4,57600,0,0.112559,44533.453,2118
343,1,2,5,5,460800,0,0.113248,34375.18,1114
344,1,2,5,5,230400,0,0.116448,36640.703,1220
350,1,3,1,1,460800,0,0.130109,30167.061,1123
351,1,3,1,1,230400,0,0.132919,28501.635,1133
352,1,3,1,1,115200,0,0.128578,29939.631,1155
353,1,3,1,1,57600,0,0.131468,31206.057,1210
354,1,3,1,1,28800,0,0.131108,31678.738,1230
355,1,3,1,1,14400,0,0.132986,35376.672,1409
356,1,3,1,1,7200,0,0.133106,38442.055,1545
357,1,3,1,2,460800,0,0.122333,33248.938,1444
358,1,3,1,2,230400,0,0.122137,36118.277,1454
359,1,3,1,2,115200,0,0.12215,36430.828,1477
360,1,3,1,2,57600,0,0.117621,34139.504,1540
361,1,3,1,2,28800,0,0.119983,39991.77,1683
362,1,3,1,2,14400,0,0.121574,41549.996,1845
364,1,3,1,3,460800,0,0.132083,35856.004,1442
365,1,3,1,3,230400,0,0.130165,35367.891,1452
366,1,3,1,3,115200,0,0.128234,36855.363,1483
367,1,3,1,3,57600,0,0.12657,39537.973,1548
368,1,3,1,3,28800,0,0.132855,41397.848,1629
371,1,3,1,4,460800,0,0.132533,41380.555,1699
372,1,3,1,4,230400,0,0.133039,38834.938,1709
373,1,3,1,4,115200,0,0.127313,40570.852,1740
374,1,3,1,4,57600,0,0.132826,41590.43,1810
375,1,3,1,4,28800,0,0.1324,45969.59,1884
378,1,3,1,5,460800,0,0.130882,36584.574,1761
379,1,3,1,5,230400,0,0.127606,38001.559,1771
380,1,3,1,5,115200,0,0.127273,39117.43,1802
381,1,3,1,5,57600,0,0.131121,40231.703,1867
382,1,3,1,5,28800,0,0.126994,43700.344,1951
385,1,3,2,1,460800,0,0.135043,30277.184,986
386,1,3,2,1,230400,0,0.135624,32391.617,1003
387,1,3,2,1,115200,0,0.134103,32936.652,1064
388,1,3,2,1,57600,0,0.1329,35401.141,1196
389,1,3,2,1,28800,0,0.133522,38667.09,1350
390,1,3,2,1,14400,0,0.134573,47060.188,1647
392,1,3,2,2,460800,0,0.122158,33718.426,1291
393,1,3,2,2,230400,0,0.126647,36937.559,1317
394,1,3,2,2,115200,0,0.126137,37550.422,1366
395,1,3,2,2,57600,0,0.127157,43052.367,1499
396,1,3,2,2,28800,0,0.121763,52108.336,1695
399,1,3,2,3,460800,0,0.136235,37686.613,1341
400,1,3,2,3,230400,0,0.137839,38937.613,1364
401,1,3,2,3,115200,0,0.132252,36851.375,1426
402,1,3,2,3,57600,0,0.135225,41782.48,1535
403,1,3,2,3,28800,0,0.137632,50556.758,1743
406,1,3,2,4,460800,0,0.134504,41666.238,1546
407,1,3,2,4,230400,0,0.138237,39445.406,1566
408,1,3,2,4,115200,0,0.133425,44884.309,1609
409,1,3,2,4,57600,0,0.138251,47803.656,1718
413,1,3,2,5,460800,0,0.13207,38000.492,1598
414,1,3,2,5,230400,0,0.136094,40599.848,1621
415,1,3,2,5,115200,0,0.136633,39352.305,1683
420,1,3,3,1,460800,0,0.129801,28700.602,995
421,1,3,3,1,230400,0,0.126236,31535.363,1025
422,1,3,3,1,115200,0,0.129892,31792.586,1075
423,1,3,3,1,57600,0,0.129853,36368.316,1220
424,1,3,3,1,28800,0,0.130048,40067.312,1413
427,1,3,3,2,460800,0,0.117413,37228.031,1266
428,1,3,3,2,230400,0,0.115552,38578.777,1495
429,1,3,3,2,115200,0,0.114561,42742.211,1846
434,1,3,3,3,460800,0,0.129218,41669.164,1381
435,1,3,3,3,230400,0,0.125601,40326.664,1527
441,1,3,3,4,460800,0,0.128929,40134.078,1488
442,1,3,3,4,230400,0,0.129488,43441.523,1682
455,1,3,4,1,460800,0,0.129801,28700.602,995
456,1,3,4,1,230400,0,0.126236,31535.363,1025
457,1,3,4,1,115200,0,0.129892,31792.586,1075
458,1,3,4,1,57600,0,0.129853,36368.316,1220
459,1,3,4,1,28800,0,0.130048,40067.312,1413
462,1,3,4,2,460800,0,0.117413,37228.031,1266
463,1,3,4,2,230400,0,0.115552,38578.777,1495
464,1,3,4,2,115200,0,0.114561,42742.211,1846
466,1,3,4,2,28800,0,0.117079,80029.023,5370
469,1,3,4,3,460800,0,0.129218,41669.164,1381
470,1,3,4,3,230400,0,0.125601,40326.664,1527
476,1,3,4,4,460800,0,0.128929,40134.078,1488
477,1,3,4,4,230400,0,0.129488,43441.523,1682
490,1,3,5,1,460800,0,0.129801,28700.602,995
491,1,3,5,1,230400,0,0.126236,31535.363,1025
492,1,3,5,1,115200,0,0.129892,31792.586,1075
493,1,3,5,1,57600,0,0.129853,36368.316,1220
494,1,3,5,1,28800,0,0.130048,40067.312,1413
495,1,3,5,1,14400,0,0.124896,54316.668,1777
497,1,3,5,2,460800,0,0.117413,37228.031,1266
498,1,3,5,2,230400,0,0.115552,38578.777,1495
499,1,3,5,2,115200,0,0.114561,42742.211,1846
504,1,3,5,3,460800,0,0.129218,41669.164,1381
505,1,3,5,3,230400,0,0.125601,40326.664,1527
511,1,3,5,4,460800,0,0.128929,40134.078,1488
512,1,3,5,4,230400,0,0.129488,43441.523,1682
518,1,3,5,5,460800,0,0.128799,45175.047,1686
525,1,4,1,1,460800,0,0.114013,28887.865,1299
526,1,4,1,1,230400,0,0.114299,30741.887,1309
527,1,4,1,1,115200,0,0.111151,30914.254,1336
528,1,4,1,1,57600,0,0.114059,32831.316,1389
529,1,4,1,1,28800,0,0.112216,34528.395,1482
530,1,4,1,1,14400,0,0.11383,35168.391,1598
531,1,4,1,1,7200,0,0.114425,37700.18,1696
532,1,4,1,2,460800,0,0.109527,35674.855,1742
533,1,4,1,2,230400,0,0.10976,38424.496,1752
534,1,4,1,2,115200,0,0.110926,38767.105,1776
535,1,4,1,2,57600,0,0.110382,39685.871,1834
536,1,4,1,2,28800,0,0.107684,42861.645,1942
537,1,4,1,2,14400,0,0.111015,43411.465,2107
539,1,4,1,3,460800,0,0.114334,37974.691,1878
540,1,4,1,3,230400,0,0.110476,38997.461,1888
541,1,4,1,3,115200,0,0.114253,39109.98,1919
542,1,4,1,3,57600,0,0.113979,40731.516,1990
544,1,4,1,3,14400,0,0.11375,45761.309,2248
546,1,4,1,4,460800,0,0.109704,42085.988,2054
547,1,4,1,4,230400,0,0.108307,41649.215,2064
548,1,4,1,4,115200,0,0.108141,44923.41,2088
549,1,4,1,4,57600,0,0.110114,44201.219,2152
553,1,4,1,5,460800,0,0.11217,44089.766,2151
554,1,4,1,5,230400,0,0.113544,41563.297,2161
555,1,4,1,5,115200,0,0.11399,41906.172,2192
556,1,4,1,5,57600,0,0.114242,45189.676,2263
560,1,4,2,1,460800,0,0.11254,30652.775,1202
561,1,4,2,1,230400,0,0.110394,31695.23,1195
562,1,4,2,1,115200,0,0.112302,31593.885,1227
563,1,4,2,1,57600,0,0.111614,34172.488,1331
564,1,4,2,1,28800,0,0.111557,37975.488,1453
565,1,4,2,1,14400,0,0.112573,37481.793,1683
567,1,4,2,2,460800,0,0.109402,37214.199,1587
568,1,4,2,2,230400,0,0.106359,35731.516,1603
569,1,4,2,2,115200,0,0.108921,37945.699,1631
570,1,4,2,2,57600,0,0.109216,40864.25,1676
571,1,4,2,2,28800,0,0.107081,41600.008,1773
574,1,4,2,3,460800,0,0.110247,38192.281,1735
575,1,4,2,3,230400,0,0.107491,38105.562,1751
576,1,4,2,3,115200,0,0.112811,39573.883,1791
577,1,4,2,3,57600,0,0.11272,42062.312,1876
581,1,4,2,4,460800,0,0.103604,41572.344,1877
582,1,4,2,4,230400,0,0.106369,43142.273,1905
583,1,4,2,4,115200,0,0.105484,42273.254,1930
584,1,4,2,4,57600,0,0.104041,45742.426,1979
588,1,4,2,5,460800,0,0.112935,40574.043,1994
589,1,4,2,5,230400,0,0.112664,40295.012,2010
590,1,4,2,5,115200,0,0.107785,43224.469,2048
595,1,4,3,1,460800,0,0.121919,32024.537,1304
596,1,4,3,1,230400,0,0.116752,32213.664,1323
597,1,4,3,1,115200,0,0.121784,34387.684,1382
598,1,4,3,1,57600,0,0.121284,38931.762,1461
599,1,4,3,1,28800,0,0.121565,45205.902,1754
602,1,4,3,2,460800,0,0.118659,39073.273,1744
603,1,4,3,2,230400,0,0.113888,38672.941,1768
604,1,4,3,2,115200,0,0.118576,41921.336,1817
605,1,4,3,2,57600,0,0.116084,46077.051,1896
606,1,4,3,2,28800,0,0.118695,56677.684,2121
609,1,4,3,3,460800,0,0.121968,40253.781,1939
610,1,4,3,3,230400,0,0.117424,42433.383,1977
611,1,4,3,3,115200,0,0.116581,44722.848,2040
612,1,4,3,3,57600,0,0.122102,49654.219,2155
616,1,4,3,4,460800,0,0.115102,46518.613,2073
617,1,4,3,4,230400,0,0.113277,46017.734,2093
618,1,4,3,4,115200,0,0.118349,50251.656,2144
623,1,4,3,5,460800,0,0.118645,43409.605,2211
624,1,4,3,5,230400,0,0.117912,46440.941,2251
630,1,4,4,1,460800,0,0.110853,30319.479,1162
631,1,4,4,1,230400,0,0.107522,31811.473,1164
632,1,4,4,1,115200,0,0.10916,30262.021,1206
633,1,4,4,1,57600,0,0.111243,36278.676,1266
634,1,4,4,1,28800,0,0.110764,37721.727,1398
637,1,4,4,2,460800,0,0.105201,33924.043,1454
638,1,4,4,2,230400,0,0.106119,35400.344,1712
639,1,4,4,2,115200,0,0.103193,43288.574,2405
640,1,4,4,2,57600,0,0.106097,56131.852,3846
644,1,4,4,3,460800,0,0.107233,39065.559,1654
645,1,4,4,3,230400,0,0.105862,43826.16,1892
646,1,4,4,3,115200,0,0.111287,50908.145,2622
651,1,4,4,4,460800,0,0.107436,38829.883,1795
652,1,4,4,4,230400,0,0.106335,43499.246,2072
658,1,4,4,5,460800,0,0.109182,42665.336,1937
665,1,4,5,1,460800,0,0.110853,30319.479,1162
666,1,4,5,1,230400,0,0.107522,31811.473,1164
667,1,4,5,1,115200,0,0.10916,30262.021,1206
668,1,4,5,1,57600,0,0.111243,36278.676,1266
669,1,4,5,1,28800,0,0.110764,37721.727,1398
672,1,4,5,2,460800,0,0.105201,33924.043,1454
673,1,4,5,2,230400,0,0.106119,35400.344,1712
674,1,4,5,2,115200,0,0.103193,43288.574,2405
675,1,4,5,2,57600,0,0.106097,56131.852,3846
679,1,4,5,3,460800,0,0.107233,39065.559,1654
680,1,4,5,3,230400,0,0.105862,43826.16,1892
681,1,4,5,3,115200,0,0.111287,50908.145,2622
686,1,4,5,4,460800,0,0.107436,38829.883,1795
687,1,4,5,4,230400,0,0.106335,43499.246,2072
693,1,4,5,5,460800,0,0.109182,42665.336,1937
707,1,5,1,2,460800,0,0.122429,41250.215,2116
708,1,5,1,2,230400,0,0.12532,43859.676,2121
709,1,5,1,2,115200,0,0.128237,42454.398,2149
710,1,5,1,2,57600,0,0.126779,46642.301,2208
711,1,5,1,2,28800,0,0.127204,49339.809,2334
712,1,5,1,2,14400,0,0.128018,51670.234,2412
714,1,5,1,3,460800,0,0.125204,45464.453,2298
715,1,5,1,3,230400,0,0.129011,44659.008,2303
716,1,5,1,3,115200,0,0.125036,46264.848,2331
717,1,5,1,3,57600,0,0.125423,47463.445,2391
718,1,5,1,3,28800,0,0.125591,50236.227,2484
721,1,5,1,4,460800,0,0.123707,49892.555,2509
722,1,5,1,4,230400,0,0.127914,50524.84,2512
723,1,5,1,4,115200,0,0.127579,51070.672,2535
730,1,5,1,5,115200,0,0.125772,49438.762,2683
742,1,5,2,2,460800,0,0.127799,42933.73,2023
743,1,5,2,2,230400,0,0.126365,45275.859,2044
744,1,5,2,2,115200,0,0.130771,46421.258,2090
745,1,5,2,2,57600,0,0.131521,48182.707,2191
746,1,5,2,2,28800,0,0.130508,55054.816,2476
749,1,5,2,3,460800,0,0.131481,48479.031,2240
750,1,5,2,3,230400,0,0.125497,46672.094,2251
751,1,5,2,3,115200,0,0.128982,47790.094,2300
752,1,5,2,3,57600,0,0.125984,51083.438,2449
757,1,5,2,4,230400,0,0.125944,51318.848,2529
770,1,5,3,1,460800,0,0.130867,38172.062,1611
771,1,5,3,1,230400,0,0.12533,34966.496,1661
772,1,5,3,1,115200,0,0.130631,37529.406,1729
773,1,5,3,1,57600,0,0.130815,39833.5,1881
