n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_x,knob_I_B,Latency,Area
0728,82944,2,4,0,0.383334,5924.086
0729,82944,2,8,0,0.354732,5993.512
0730,82944,2,16,0,0.276580,6019.846
0731,82944,2,32,0,0.274348,6006.014
0732,82944,3,1,0,0.331402,7478.324
0733,82944,3,2,0,0.342766,8030.806
0734,82944,3,4,0,0.293126,6333.460
0735,82944,3,8,0,0.279095,6260.310
0736,82944,3,16,0,0.345541,6104.700
0737,82944,3,32,0,0.341758,6212.430
0738,82944,4,1,0,0.406658,12313.938
0739,82944,4,2,0,0.447556,11519.662
0740,82944,4,4,0,0.317349,9171.680
0741,82944,4,8,0,0.306547,8690.220
0742,82944,4,16,0,0.268994,8889.454
0743,82944,4,32,0,0.279268,9349.900
0744,82944,5,1,0,0.361082,8357.188
0745,82944,5,2,0,0.349617,9232.860
0746,82944,5,4,0,0.299686,8064.588
0747,82944,5,8,0,0.298893,7766.136
0748,82944,5,16,0,0.354543,7486.038
0749,82944,5,32,0,0.356893,7266.056
0750,82944,6,1,0,0.383603,10779.384
0751,82944,6,2,0,0.349159,10666.866
0752,82944,6,4,0,0.397278,7942.228
0753,82944,6,8,0,0.343739,8542.856
0754,82944,6,16,0,0.286946,8235.626
0755,82944,6,32,0,0.289255,8473.164
0756,82944,7,1,0,0.376194,9421.188
0757,82944,7,2,0,0.342326,10564.190
0758,82944,7,4,0,0.318545,8423.156
0759,82944,7,8,0,0.297521,8169.924
0760,82944,7,16,0,0.369571,8197.056
0761,82944,7,32,0,0.352561,7969.892
0762,82944,8,1,0,0.448417,16044.056
0763,82944,8,2,0,0.336432,15811.838
0764,82944,8,4,0,0.476396,11774.756
0765,82944,8,8,0,0.395802,12302.766
0766,82944,8,16,0,0.335362,11482.156
0767,82944,8,32,0,0.310694,11992.078
