n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,Latency,Area
0099,518400,1,8,0,0.180679,3806.992
0100,518400,1,16,0,0.201231,4270.364
0101,518400,1,32,0,0.195462,4285.792
0102,518400,2,1,0,0.268116,5559.932
0103,518400,2,2,0,0.313182,5161.730
0106,518400,2,16,0,0.175913,4566.422
0107,518400,2,32,0,0.197255,4608.716
0108,518400,3,1,0,0.257129,5560.996
0109,518400,3,2,0,0.282899,5188.596
0112,518400,3,16,0,0.161118,4557.644
0113,518400,3,32,0,0.158002,4554.718
0114,518400,4,1,0,0.338958,6513.010
0115,518400,4,2,0,0.313181,6078.100
0118,518400,4,16,0,0.244129,5428.794
0119,518400,4,32,0,0.235576,5571.104
0120,518400,5,1,0,0.254942,5863.172
0121,518400,5,2,0,0.280361,5606.216
0124,518400,5,16,0,0.161775,4933.768
0125,518400,5,32,0,0.157290,4917.010
0126,518400,6,1,0,0.270203,6803.216
0127,518400,6,2,0,0.314295,5826.996
0130,518400,6,16,0,0.152292,5292.336
0131,518400,6,32,0,0.145596,5262.544
0132,518400,7,1,0,0.261615,5881.526
0133,518400,7,2,0,0.276907,5620.048
0136,518400,7,16,0,0.161786,4939.886
0137,518400,7,32,0,0.159672,4935.098
0138,518400,8,1,0,0.353671,8171.254
0139,518400,8,2,0,0.283785,7929.726
0142,518400,8,16,0,0.244127,6922.118
0143,518400,8,32,0,0.222153,6944.462
0144,259200,1,1,0,0.281763,4922.862
0145,259200,1,2,0,0.282464,5531.470
0146,259200,1,4,0,0.197693,4145.876
0147,259200,1,8,0,0.173630,4236.848
0148,259200,1,16,0,0.170560,4420.654
0149,259200,1,32,0,0.175436,4427.038
0150,259200,2,1,0,0.261566,6631.380
0151,259200,2,2,0,0.308026,6031.284
0154,259200,2,16,0,0.174014,4940.418
0155,259200,2,32,0,0.173541,5144.440
0156,259200,3,1,0,0.250965,6382.670
0157,259200,3,2,0,0.251812,5886.314
0160,259200,3,16,0,0.160287,4957.442
0161,259200,3,32,0,0.157494,4962.230
0162,259200,4,1,0,0.322949,7683.410
0163,259200,4,2,0,0.284187,7682.346
0166,259200,4,16,0,0.225582,6649.734
0167,259200,4,32,0,0.220427,6702.402
0168,259200,5,1,0,0.266575,6948.452
0169,259200,5,2,0,0.257825,6346.494
0172,259200,5,16,0,0.164440,5535.194
0173,259200,5,32,0,0.157460,5561.794
0174,259200,6,1,0,0.283228,7986.650
0175,259200,6,2,0,0.307526,7490.294
0178,259200,6,16,0,0.172570,6156.570
0179,259200,6,32,0,0.156035,6156.304
0180,259200,7,1,0,0.263352,7323.246
0181,259200,7,2,0,0.249390,6405.546
0184,259200,7,16,0,0.159334,5627.496
0185,259200,7,32,0,0.156492,5680.430
0186,259200,8,1,0,0.326428,9833.488
0187,259200,8,2,0,0.290554,10061.450
0190,259200,8,16,0,0.217587,7958.986
0191,259200,8,32,0,0.224288,8265.152
0192,129600,1,1,0,0.282110,6267.226
0193,129600,1,2,0,0.284554,6661.970
0194,129600,1,4,0,0.274535,5256.692
0195,129600,1,8,0,0.201717,5363.092
0196,129600,1,16,0,0.192665,5457.788
0197,129600,1,32,0,0.172188,5327.714
0198,129600,2,1,0,0.272036,8536.472
0199,129600,2,2,0,0.305136,7691.390
0200,129600,2,4,0,0.243643,6463.800
0201,129600,2,8,0,0.193698,6013.196
