n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0423,1,256,4,2,1,1,0,7,0,0.0009,481
0425,1,256,4,2,1,1,0,7,2,0.0008,464
0426,1,256,4,2,1,1,0,8,0,0.0009,386
0427,1,256,4,2,1,1,0,8,1,0.0007,336
0441,1,256,4,2,1,1,0,13,0,0.0011,537
0442,1,256,4,2,1,1,0,13,1,0.0008,637
0443,1,256,4,2,1,1,0,13,2,0.0008,637
0471,1,256,4,4,1,1,0,8,0,0.0005,652
0472,1,256,4,4,1,1,0,8,1,0.0003,685
0473,1,256,4,4,1,1,0,8,2,0.0003,685
0474,1,256,4,4,1,1,0,9,0,0.0005,916
0480,1,256,4,4,1,1,0,11,0,0.0005,944
0481,1,256,4,4,1,1,0,11,1,0.0004,1138
0482,1,256,4,4,1,1,0,11,2,0.0004,1138
0492,1,256,4,4,1,1,0,15,0,0.0005,1159
0493,1,256,4,4,1,1,0,15,1,0.0004,1374
0494,1,256,4,4,1,1,0,15,2,0.0004,1374
0495,1,256,4,8,1,1,0,1,0,0.0003,913
0497,1,256,4,8,1,1,0,1,2,0.0002,964
0504,1,256,4,8,1,1,0,4,0,0.0003,1130
0505,1,256,4,8,1,1,0,4,1,0.0002,1080
0513,1,256,4,8,1,1,0,7,0,0.0003,1740
0514,1,256,4,8,1,1,0,7,1,0.0002,1803
0515,1,256,4,8,1,1,0,7,2,0.0002,1803
0516,1,256,4,8,1,1,0,8,0,0.0003,1231
0517,1,256,4,8,1,1,0,8,1,0.0002,1237
0518,1,256,4,8,1,1,0,8,2,0.0002,1237
0519,1,256,4,8,1,1,0,9,0,0.0003,1794
0520,1,256,4,8,1,1,0,9,1,0.0002,1982
0521,1,256,4,8,1,1,0,9,2,0.0002,1982
0540,1,256,8,1,1,1,0,1,0,0.0014,61
0541,1,256,8,1,1,1,0,1,1,0.0010,77
0542,1,256,8,1,1,1,0,1,2,0.0010,77
0543,1,256,8,1,1,1,0,2,0,0.0012,77
0545,1,256,8,1,1,1,0,2,2,0.0009,75
0549,1,256,8,1,1,1,0,4,0,0.0012,83
0550,1,256,8,1,1,1,0,4,1,0.0010,84
0551,1,256,8,1,1,1,0,4,2,0.0010,84
0552,1,256,8,1,1,1,0,5,0,0.0012,139
0553,1,256,8,1,1,1,0,5,1,0.0010,152
0554,1,256,8,1,1,1,0,5,2,0.0010,152
0558,1,256,8,1,1,1,0,7,0,0.0014,168
0559,1,256,8,1,1,1,0,7,1,0.0011,181
0560,1,256,8,1,1,1,0,7,2,0.0011,181
0561,1,256,8,1,1,1,0,8,0,0.0012,109
0577,1,256,8,1,1,1,0,13,1,0.0012,251
0578,1,256,8,1,1,1,0,13,2,0.0012,251
0582,1,256,8,1,1,1,0,15,0,0.0015,238
0585,1,256,8,2,1,1,0,1,0,0.0011,254
0591,1,256,8,2,1,1,0,3,0,0.0009,365
0592,1,256,8,2,1,1,0,3,1,0.0007,361
0593,1,256,8,2,1,1,0,3,2,0.0007,361
0594,1,256,8,2,1,1,0,4,0,0.0009,351
0595,1,256,8,2,1,1,0,4,1,0.0007,294
0606,1,256,8,2,1,1,0,8,0,0.0010,375
0607,1,256,8,2,1,1,0,8,1,0.0007,342
0609,1,256,8,2,1,1,0,9,0,0.0010,490
0610,1,256,8,2,1,1,0,9,1,0.0008,541
0611,1,256,8,2,1,1,0,9,2,0.0008,541
0639,1,256,8,4,1,1,0,4,0,0.0005,607
0640,1,256,8,4,1,1,0,4,1,0.0004,588
0641,1,256,8,4,1,1,0,4,2,0.0004,588
0648,1,256,8,4,1,1,0,7,0,0.0005,888
0649,1,256,8,4,1,1,0,7,1,0.0004,937
0650,1,256,8,4,1,1,0,7,2,0.0004,937
0651,1,256,8,4,1,1,0,8,0,0.0005,656
0652,1,256,8,4,1,1,0,8,1,0.0004,676
0675,1,256,8,8,1,1,0,1,0,0.0003,917
0676,1,256,8,8,1,1,0,1,1,0.0002,982
0677,1,256,8,8,1,1,0,1,2,0.0002,982
0678,1,256,8,8,1,1,0,2,0,0.0003,998
0682,1,256,8,8,1,1,0,3,1,0.0002,1313
0693,1,256,8,8,1,1,0,7,0,0.0003,1786
0694,1,256,8,8,1,1,0,7,1,0.0002,1794
0695,1,256,8,8,1,1,0,7,2,0.0002,1794
0696,1,256,8,8,1,1,0,8,0,0.0003,1217
0697,1,256,8,8,1,1,0,8,1,0.0002,1242
0699,1,256,8,8,1,1,0,9,0,0.0003,1782
0700,1,256,8,8,1,1,0,9,1,0.0002,2011
0701,1,256,8,8,1,1,0,9,2,0.0002,2011
0717,1,256,8,8,1,1,0,15,0,0.0003,2228
0718,1,256,8,8,1,1,0,15,1,0.0002,2650
0719,1,256,8,8,1,1,0,15,2,0.0002,2650
0720,2,256,1,1,1,1,0,1,0,0.0008,73
0721,2,256,1,1,1,1,0,1,1,0.0005,93
0723,2,256,1,1,1,1,0,2,0,0.0007,96
0724,2,256,1,1,1,1,0,2,1,0.0005,95
0725,2,256,1,1,1,1,0,2,2,0.0005,95
0726,2,256,1,1,1,1,0,3,0,0.0008,148
0727,2,256,1,1,1,1,0,3,1,0.0005,138
0728,2,256,1,1,1,1,0,3,2,0.0005,138
0729,2,256,1,1,1,1,0,4,0,0.0007,105
0730,2,256,1,1,1,1,0,4,1,0.0005,124
0735,2,256,1,1,1,1,0,6,0,0.0007,188
0736,2,256,1,1,1,1,0,6,1,0.0005,181
0738,2,256,1,1,1,1,0,7,0,0.0007,229
0739,2,256,1,1,1,1,0,7,1,0.0005,221
0740,2,256,1,1,1,1,0,7,2,0.0005,221
0741,2,256,1,1,1,1,0,8,0,0.0007,128
0743,2,256,1,1,1,1,0,8,2,0.0005,131
0759,2,256,1,1,1,1,0,14,0,0.0008,341
0760,2,256,1,1,1,1,0,14,1,0.0005,393
0765,2,256,1,2,1,1,0,1,0,0.0006,306
0766,2,256,1,2,1,1,0,1,1,0.0003,307
0767,2,256,1,2,1,1,0,1,2,0.0003,307
0768,2,256,1,2,1,1,0,2,0,0.0005,314
0769,2,256,1,2,1,1,0,2,1,0.0003,308
0771,2,256,1,2,1,1,0,3,0,0.0005,421
0772,2,256,1,2,1,1,0,3,1,0.0003,403
0773,2,256,1,2,1,1,0,3,2,0.0003,403
0774,2,256,1,2,1,1,0,4,0,0.0005,337
0775,2,256,1,2,1,1,0,4,1,0.0003,345
0908,2,256,2,1,1,1,0,3,2,0.0005,169
0909,2,256,2,1,1,1,0,4,0,0.0007,154
0910,2,256,2,1,1,1,0,4,1,0.0005,163
0911,2,256,2,1,1,1,0,4,2,0.0005,163
0912,2,256,2,1,1,1,0,5,0,0.0007,207
0913,2,256,2,1,1,1,0,5,1,0.0005,226
0917,2,256,2,1,1,1,0,6,2,0.0005,246
0918,2,256,2,1,1,1,0,7,0,0.0008,253
0919,2,256,2,1,1,1,0,7,1,0.0005,282
0920,2,256,2,1,1,1,0,7,2,0.0005,282
0921,2,256,2,1,1,1,0,8,0,0.0008,302
0922,2,256,2,1,1,1,0,8,1,0.0005,267
0923,2,256,2,1,1,1,0,8,2,0.0005,267
0925,2,256,2,1,1,1,0,9,1,0.0005,335
0927,2,256,2,1,1,1,0,10,0,0.0007,348
0937,2,256,2,1,1,1,0,13,1,0.0005,501
0938,2,256,2,1,1,1,0,13,2,0.0005,501
0939,2,256,2,1,1,1,0,14,0,0.0007,454
0940,2,256,2,1,1,1,0,14,1,0.0005,524
0941,2,256,2,1,1,1,0,14,2,0.0005,524
0942,2,256,2,1,1,1,0,15,0,0.0007,483
0944,2,256,2,1,1,1,0,15,2,0.0005,576
0945,2,256,2,2,1,1,0,1,0,0.0005,306
0946,2,256,2,2,1,1,0,1,1,0.0003,387
0947,2,256,2,2,1,1,0,1,2,0.0003,387
0951,2,256,2,2,1,1,0,3,0,0.0006,466
0952,2,256,2,2,1,1,0,3,1,0.0004,458
0953,2,256,2,2,1,1,0,3,2,0.0004,458
0954,2,256,2,2,1,1,0,4,0,0.0005,514
0955,2,256,2,2,1,1,0,4,1,0.0004,470
1078,2,256,2,8,1,1,0,15,1,0.0001,4329
1079,2,256,2,8,1,1,0,15,2,0.0001,4329
1080,2,256,4,1,1,1,0,1,0,0.0009,89
1082,2,256,4,1,1,1,0,1,2,0.0005,105
