n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0417,1,2,4,4,1,2,2097152,0,1.879367,189,971,271,1,0
0418,1,2,4,4,1,4,1048576,0,1.924459,294,1291,274,1,0
0420,1,2,4,4,2,1,4194304,0,1.852239,195,1008,268,1,0
0421,1,2,4,4,2,2,2097152,0,2.033983,286,1416,276,1,0
0422,1,2,4,4,2,4,1048576,0,1.880038,373,1594,281,1,0
0424,1,2,4,4,4,1,4194304,0,1.871964,339,1754,277,1,0
0425,1,2,4,4,4,2,2097152,0,1.959793,498,2526,389,1,0
0426,1,2,4,4,4,4,1048576,0,1.883644,513,2303,295,1,0
0428,1,2,4,4,8,1,4194304,0,1.944074,352,1850,277,1,0
0429,1,2,4,4,8,2,2097152,0,1.997797,547,2964,319,1,0
0430,1,2,4,4,8,4,1048576,0,2.001535,727,3448,301,1,0
0432,1,2,4,8,1,1,4194304,0,1.920721,193,973,268,1,0
0433,1,2,4,8,1,2,2097152,0,1.966747,225,1198,268,1,0
0434,1,2,4,8,1,4,1048576,0,1.856938,387,1730,278,1,0
0436,1,2,4,8,2,1,4194304,0,1.865788,370,1976,291,1,0
0437,1,2,4,8,2,2,2097152,0,2.018097,426,2267,306,1,0
0438,1,2,4,8,2,4,1048576,0,1.911808,548,2512,283,1,0
0448,1,2,8,1,1,1,4194304,0,1.589052,93,432,286,1,0
0449,1,2,8,1,1,2,2097152,0,1.624709,140,618,288,1,0
0450,1,2,8,1,1,4,1048576,0,1.655040,218,921,299,1,0
0452,1,2,8,1,2,1,4194304,0,1.898582,111,608,318,1,0
0453,1,2,8,1,2,2,2097152,0,1.999519,158,815,320,1,0
0454,1,2,8,1,2,4,1048576,0,1.923816,261,1196,327,1,0
0456,1,2,8,1,4,1,4194304,0,1.787333,136,634,264,1,0
0457,1,2,8,1,4,2,2097152,0,1.840112,242,1215,268,1,0
0458,1,2,8,1,4,4,1048576,0,1.874604,283,1326,275,1,0
0460,1,2,8,1,8,1,4194304,0,1.906020,163,795,265,1,0
0461,1,2,8,1,8,2,2097152,0,2.006020,285,1434,270,1,0
0462,1,2,8,1,8,4,1048576,0,2.120140,363,1532,276,1,0
0464,1,2,8,2,1,1,4194304,0,1.931265,111,575,319,1,0
0465,1,2,8,2,1,2,2097152,0,1.856247,155,786,321,1,0
0466,1,2,8,2,1,4,1048576,0,1.979888,245,1144,330,1,0
0468,1,2,8,2,2,1,4194304,0,1.850428,149,721,264,1,0
0469,1,2,8,2,2,2,2097152,0,1.872189,222,1017,266,1,0
0470,1,2,8,2,2,4,1048576,0,1.882839,263,1247,273,1,0
0472,1,2,8,2,4,1,4194304,0,1.906780,187,1009,265,1,0
0473,1,2,8,2,4,2,2097152,0,2.030859,298,1490,267,1,0
0474,1,2,8,2,4,4,1048576,0,1.896826,378,1750,277,1,0
0476,1,2,8,2,8,1,4194304,0,2.007870,279,1458,271,1,0
0477,1,2,8,2,8,2,2097152,0,2.132639,659,3676,359,1,0
0478,1,2,8,2,8,4,1048576,0,1.936111,501,2542,279,1,0
0480,1,2,8,4,1,1,4194304,0,1.836334,144,736,264,1,0
0481,1,2,8,4,1,2,2097152,0,1.799056,197,971,266,1,0
0482,1,2,8,4,1,4,1048576,0,1.872222,271,1385,273,1,0
0484,1,2,8,4,2,1,4194304,0,1.945808,198,1050,266,1,0
0485,1,2,8,4,2,2,2097152,0,2.085174,317,1588,269,1,0
0486,1,2,8,4,2,4,1048576,0,2.055773,434,1959,274,1,0
0488,1,2,8,4,4,1,4194304,0,1.932475,302,1524,268,1,0
0489,1,2,8,4,4,2,2097152,0,2.083406,562,3336,361,1,0
0490,1,2,8,4,4,4,1048576,0,1.935253,604,2836,279,1,0
0492,1,2,8,4,8,1,4194304,0,1.982407,422,2353,277,1,0
0493,1,2,8,4,8,2,2097152,0,2.115509,724,4100,284,1,0
0496,1,2,8,8,1,1,4194304,0,1.971321,180,924,265,1,0
0497,1,2,8,8,1,2,2097152,0,1.894450,268,1388,270,1,0
0498,1,2,8,8,1,4,1048576,0,1.927791,351,1680,275,1,0
0500,1,2,8,8,2,1,4194304,0,2.021047,300,1600,270,1,0
0501,1,2,8,8,2,2,2097152,0,2.052069,507,2664,277,1,0
0502,1,2,8,8,2,4,1048576,0,2.097212,617,3045,282,1,0
0504,1,2,8,8,4,1,4194304,0,2.004468,448,2465,273,1,0
0505,1,2,8,8,4,2,2097152,0,2.153316,838,4922,369,1,0
0512,1,4,1,1,1,1,4194304,0,1.815953,90,406,300,1,0
0513,1,4,1,1,1,2,2097152,0,1.658658,127,472,302,1,0
0514,1,4,1,1,1,4,1048576,0,1.572712,153,604,313,1,0
0516,1,4,1,1,2,1,4194304,0,1.682442,107,512,257,1,0
0517,1,4,1,1,2,2,2097152,0,1.870322,165,628,260,1,0
0518,1,4,1,1,2,4,1048576,0,1.895514,233,901,266,1,0
0520,1,4,1,1,4,1,4194304,0,1.856538,146,705,265,1,0
0521,1,4,1,1,4,2,2097152,0,1.856538,189,861,267,1,0
0522,1,4,1,1,4,4,1048576,0,1.856538,241,1191,274,1,0
0524,1,4,1,1,8,1,4194304,0,1.875071,199,964,266,1,0
