n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
8041,20,200,4,3,3,2,1,400,40000,0,0.603533,164
8042,20,200,4,3,3,2,2,400,40000,0,0.66514,170
8043,20,200,4,3,3,2,3,400,40000,0,0.602342,161
8044,20,200,4,3,3,2,4,400,40000,0,0.759681,181
8045,20,200,4,3,3,3,1,400,40000,0,0.634268,174
8046,20,200,4,3,3,3,2,400,40000,0,0.713679,189
8047,20,200,4,3,3,3,3,400,40000,0,0.607036,184
8048,20,200,4,3,3,3,4,400,40000,0,0.678761,187
8049,20,200,4,3,3,4,1,400,40000,0,0.744244,179
8050,20,200,4,3,3,4,2,400,40000,0,0.698764,180
8051,20,200,4,3,3,4,3,400,40000,0,0.619811,183
8052,20,200,4,3,3,4,4,400,40000,0,0.714838,194
8053,20,200,4,3,4,1,1,400,40000,0,0.654733,122
8054,20,200,4,3,4,1,2,400,40000,0,0.533663,130
8055,20,200,4,3,4,1,3,400,40000,0,0.51389,122
8056,20,200,4,3,4,1,4,400,40000,0,0.725164,145
8057,20,200,4,3,4,2,1,400,40000,0,0.653719,145
8058,20,200,4,3,4,2,2,400,40000,0,0.575126,146
8059,20,200,4,3,4,2,3,400,40000,0,0.631423,161
8060,20,200,4,3,4,2,4,400,40000,0,0.814748,149
8061,20,200,4,3,4,3,1,400,40000,0,0.479146,145
8062,20,200,4,3,4,3,2,400,40000,0,0.626634,154
8063,20,200,4,3,4,3,3,400,40000,0,0.472364,148
8064,20,200,4,3,4,3,4,400,40000,0,0.642035,171
8065,20,200,4,3,4,4,1,400,40000,0,0.570317,156
8066,20,200,4,3,4,4,2,400,40000,0,0.618735,165
8067,20,200,4,3,4,4,3,400,40000,0,0.536644,166
8068,20,200,4,3,4,4,4,400,40000,0,0.682156,165
8069,20,200,4,4,1,1,1,400,40000,0,0.586133,156
8070,20,200,4,4,1,1,2,400,40000,0,0.675319,144
8071,20,200,4,4,1,1,3,400,40000,0,0.622884,157
8072,20,200,4,4,1,1,4,400,40000,0,0.704435,182
8073,20,200,4,4,1,2,1,400,40000,0,0.53907,118
8074,20,200,4,4,1,2,2,400,40000,0,0.688775,130
8075,20,200,4,4,1,2,3,400,40000,0,0.614103,151
8076,20,200,4,4,1,2,4,400,40000,0,0.700569,136
8077,20,200,4,4,1,3,1,400,40000,0,0.63944,136
8078,20,200,4,4,1,3,2,400,40000,0,0.654546,157
8079,20,200,4,4,1,3,3,400,40000,0,0.571726,165
8080,20,200,4,4,1,3,4,400,40000,0,0.635988,151
8081,20,200,4,4,1,4,1,400,40000,0,0.690029,175
8082,20,200,4,4,1,4,2,400,40000,0,0.713124,147
8083,20,200,4,4,1,4,3,400,40000,0,0.613138,196
8084,20,200,4,4,1,4,4,400,40000,0,0.7465,168
8085,20,200,4,4,2,1,1,400,40000,0,0.709748,170
8086,20,200,4,4,2,1,2,400,40000,0,0.724985,154
8087,20,200,4,4,2,1,3,400,40000,0,0.66687,186
8088,20,200,4,4,2,1,4,400,40000,0,0.734978,179
8089,20,200,4,4,2,2,1,400,40000,0,0.590198,176
8090,20,200,4,4,2,2,2,400,40000,0,0.752559,193
8091,20,200,4,4,2,2,3,400,40000,0,0.639032,203
8092,20,200,4,4,2,2,4,400,40000,0,0.763112,175
8093,20,200,4,4,2,3,1,400,40000,0,0.714212,193
8094,20,200,4,4,2,3,2,400,40000,0,0.698582,182
8095,20,200,4,4,2,3,3,400,40000,0,0.549038,190
8096,20,200,4,4,2,3,4,400,40000,0,0.707845,180
8097,20,200,4,4,2,4,1,400,40000,0,0.71907,192
8098,20,200,4,4,2,4,2,400,40000,0,0.789919,180
8099,20,200,4,4,2,4,3,400,40000,0,0.613944,186
8100,20,200,4,4,2,4,4,400,40000,0,0.807995,206
8101,20,200,4,4,3,1,2,400,40000,0,0.720873,157
8102,20,200,4,4,3,1,3,400,40000,0,0.674822,149
8103,20,200,4,4,3,1,4,400,40000,0,0.720497,144
8104,20,200,4,4,3,2,1,400,40000,0,0.633666,184
8105,20,200,4,4,3,2,2,400,40000,0,0.725936,168
8106,20,200,4,4,3,2,4,400,40000,0,0.860343,180
8107,20,200,4,4,3,3,1,400,40000,0,0.552861,192
8108,20,200,4,4,3,3,2,400,40000,0,0.646879,180
8109,20,200,4,4,3,3,3,400,40000,0,0.569187,178
8110,20,200,4,4,3,3,4,400,40000,0,0.674375,182
8111,20,200,4,4,3,4,1,400,40000,0,0.686723,168
8112,20,200,4,4,3,4,2,400,40000,0,0.649017,207
8113,20,200,4,4,3,4,3,400,40000,0,0.583659,187
8114,20,200,4,4,3,4,4,400,40000,0,0.69629,188
8115,20,200,4,4,4,1,1,400,40000,0,0.650765,185
8116,20,200,4,4,4,1,2,400,40000,0,0.705849,193
8117,20,200,4,4,4,1,3,400,40000,0,0.649909,196
8118,20,200,4,4,4,1,4,400,40000,0,0.755732,200
8119,20,200,4,4,4,2,1,400,40000,0,0.606137,215
8120,20,200,4,4,4,2,2,400,40000,0,0.715289,204
8121,20,200,4,4,4,2,3,400,40000,0,0.678457,191
8122,20,200,4,4,4,2,4,400,40000,0,0.79269,202
8123,20,200,4,4,4,3,1,400,40000,0,0.639344,176
8124,20,200,4,4,4,3,2,400,40000,0,0.581964,155
8125,20,200,4,4,4,3,3,400,40000,0,0.609509,164
