Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Paramter3,FF_Value,Flow
Throughput,3.74634263300453,catapult,FF,357,FF,357,catapult_fpga_latency
Throughput,3.74634263300453,catapult,DSP,1,FF,357,catapult_fpga_latency
Throughput,3.74634263300453,catapult,BRAM,0,FF,357,catapult_fpga_latency
Throughput,4.28601430671576,catapult,CLB,159,FF,358,catapult_fpga_latency
Throughput,4.28601430671576,catapult,LUT,959,FF,358,catapult_fpga_latency
Throughput,4.28601430671576,catapult,FF,358,FF,358,catapult_fpga_latency
Throughput,4.28601430671576,catapult,DSP,1,FF,358,catapult_fpga_latency
Throughput,4.28601430671576,catapult,BRAM,0,FF,358,catapult_fpga_latency
Throughput,2.2661913707965,catapult,CLB,255,FF,280,catapult_fpga_latency
Throughput,2.2661913707965,catapult,LUT,1534,FF,280,catapult_fpga_latency
Throughput,2.2661913707965,catapult,FF,280,FF,280,catapult_fpga_latency
Throughput,2.2661913707965,catapult,DSP,1,FF,280,catapult_fpga_latency
Throughput,2.2661913707965,catapult,BRAM,0,FF,280,catapult_fpga_latency
Throughput,2.99861763726922,catapult,CLB,250,FF,299,catapult_fpga_latency
Throughput,2.99861763726922,catapult,LUT,1618,FF,299,catapult_fpga_latency
Throughput,2.99861763726922,catapult,FF,299,FF,299,catapult_fpga_latency
Throughput,2.99861763726922,catapult,DSP,1,FF,299,catapult_fpga_latency
Throughput,2.99861763726922,catapult,BRAM,0,FF,299,catapult_fpga_latency
Throughput,2.96551990012129,catapult,CLB,262,FF,247,catapult_fpga_latency
Throughput,2.96551990012129,catapult,LUT,1650,FF,247,catapult_fpga_latency
Throughput,2.96551990012129,catapult,FF,247,FF,247,catapult_fpga_latency
Throughput,2.96551990012129,catapult,DSP,1,FF,247,catapult_fpga_latency
Throughput,2.96551990012129,catapult,BRAM,0,FF,247,catapult_fpga_latency
Throughput,3.33838542327389,catapult,CLB,271,FF,251,catapult_fpga_latency
Throughput,3.33838542327389,catapult,LUT,1692,FF,251,catapult_fpga_latency
Throughput,3.33838542327389,catapult,FF,251,FF,251,catapult_fpga_latency
Throughput,3.33838542327389,catapult,DSP,1,FF,251,catapult_fpga_latency
Throughput,3.33838542327389,catapult,BRAM,0,FF,251,catapult_fpga_latency
Throughput,3.57393032265443,catapult,CLB,275,FF,252,catapult_fpga_latency
Throughput,3.57393032265443,catapult,LUT,1659,FF,252,catapult_fpga_latency
Throughput,3.57393032265443,catapult,FF,252,FF,252,catapult_fpga_latency
Throughput,3.57393032265443,catapult,DSP,1,FF,252,catapult_fpga_latency
