n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0169,16,1,4,3,1,8,0.000002,1054,6158,2811,12,0
0170,16,1,4,3,1,16,0.000001,1974,10909,2295,12,0
0171,16,1,4,3,2,4,0.000002,1196,6497,3350,12,0
0172,16,1,4,3,2,8,0.000003,1540,8611,3615,12,0
0173,16,1,4,3,2,16,0.000002,2630,14195,2890,12,0
0174,16,1,4,3,3,4,0.000002,1358,7732,3740,12,0
0175,16,1,4,3,3,8,0.000003,1955,11017,4018,12,0
0176,16,1,4,3,3,16,0.000002,3358,18082,3091,12,0
0177,16,1,4,3,4,4,0.000003,1648,9232,4149,12,0
0178,16,1,4,3,4,8,0.000003,2359,13412,4409,12,0
0179,16,1,4,3,4,16,0.000002,3882,20934,3359,12,0
0180,16,1,4,4,1,4,0.000001,780,4648,2535,12,0
0181,16,1,4,4,1,8,0.000001,1129,6610,2560,12,0
0182,16,1,4,4,1,16,0.000002,1746,9318,2300,12,0
0183,16,1,4,4,2,4,0.000002,1140,6354,3316,12,0
0184,16,1,4,4,2,8,0.000002,1657,8954,3376,12,0
0185,16,1,4,4,2,16,0.000002,2490,13857,2897,12,0
0186,16,1,4,4,3,4,0.000002,1362,7679,3713,12,0
0187,16,1,4,4,3,8,0.000002,1887,10842,3768,12,0
0188,16,1,4,4,3,16,0.000002,3312,17768,3318,12,0
0189,16,1,4,4,4,4,0.000003,1658,9316,4142,12,0
0190,16,1,4,4,4,8,0.000003,2353,13716,4191,12,0
0191,16,1,4,4,4,16,0.000002,4387,22277,3629,12,0
0192,16,2,1,1,1,4,0.000001,435,2276,1514,6,0
0193,16,2,1,1,1,8,0.000002,694,3683,1526,6,0
0194,16,2,1,1,1,16,0.000001,1007,5506,2164,6,0
0195,16,2,1,1,2,4,0.000002,587,3002,1900,6,0
0196,16,2,1,1,2,8,0.000002,757,4152,1919,6,0
0197,16,2,1,1,2,16,0.000002,1233,6515,2396,6,0
0198,16,2,1,1,3,4,0.000002,714,3745,2096,6,0
0199,16,2,1,1,3,8,0.000002,974,5568,2120,6,0
0200,16,2,1,1,3,16,0.000002,1875,9886,2522,6,0
0201,16,2,1,1,4,4,0.000002,809,4318,2231,6,0
0202,16,2,1,1,4,8,0.000002,1059,5889,2312,6,0
0203,16,2,1,1,4,16,0.000002,1597,8286,2709,6,0
0204,16,2,1,2,1,4,0.000001,449,2369,1493,6,0
0205,16,2,1,2,1,8,0.000001,551,3078,1501,6,0
0206,16,2,1,2,1,16,0.000001,992,5509,2160,6,0
0207,16,2,1,2,2,4,0.000001,579,2979,1880,6,0
0208,16,2,1,2,2,8,0.000001,787,4364,1893,6,0
0209,16,2,1,2,2,16,0.000001,1216,6520,2392,6,0
0210,16,2,1,2,3,4,0.000001,745,3921,2076,6,0
0211,16,2,1,2,3,8,0.000002,992,5558,2094,6,0
0212,16,2,1,2,3,16,0.000002,1753,9241,2503,6,0
0213,16,2,1,2,4,4,0.000001,791,4252,2211,6,0
0214,16,2,1,2,4,8,0.000002,1033,6034,2291,6,0
0215,16,2,1,2,4,16,0.000002,1688,8856,2709,6,0
0216,16,2,1,3,1,4,0.000001,506,2554,1684,6,0
0217,16,2,1,3,1,8,0.000001,703,3716,1913,6,0
0218,16,2,1,3,1,16,0.000001,1026,5724,2206,6,0
0219,16,2,1,3,2,4,0.000001,674,3364,2070,6,0
0220,16,2,1,3,2,8,0.000001,923,4793,2309,6,0
0221,16,2,1,3,2,16,0.000001,1254,6728,2438,6,0
0222,16,2,1,3,3,4,0.000001,789,4002,2269,6,0
0223,16,2,1,3,3,8,0.000002,1104,5881,2511,6,0
0224,16,2,1,3,3,16,0.000001,1819,9708,2549,6,0
0225,16,2,1,3,4,4,0.000001,864,4606,2400,6,0
0226,16,2,1,3,4,8,0.000002,1217,6449,2701,6,0
0227,16,2,1,3,4,16,0.000001,1648,8605,2751,6,0
0228,16,2,1,4,1,4,0.000001,442,2367,1625,6,0
0229,16,2,1,4,1,8,0.000001,635,3209,1631,6,0
