n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0195,32,2,1,1,1,0,16,0.0003,48
0196,32,2,1,1,2,0,1024,0.0002,44
0197,32,2,1,1,2,0,512,0.0002,43
0198,32,2,1,1,2,0,256,0.0002,44
0199,32,2,1,1,2,0,128,0.0002,41
0200,32,2,1,1,2,0,64,0.0002,39
0201,32,2,1,1,2,0,32,0.0002,39
0202,32,2,1,1,2,0,16,0.0002,49
0203,32,2,1,1,3,0,1024,0.0003,53
0204,32,2,1,1,3,0,512,0.0003,49
0205,32,2,1,1,3,0,256,0.0003,44
0206,32,2,1,1,3,0,128,0.0003,42
0207,32,2,1,1,3,0,64,0.0003,43
0208,32,2,1,1,3,0,32,0.0003,44
0209,32,2,1,1,3,0,16,0.0003,61
0210,32,2,1,2,1,0,1024,0.0003,43
0211,32,2,1,2,1,0,512,0.0004,49
0212,32,2,1,2,1,0,256,0.0002,42
0213,32,2,1,2,1,0,128,0.0003,43
0214,32,2,1,2,1,0,64,0.0003,47
0215,32,2,1,2,1,0,32,0.0002,49
0216,32,2,1,2,1,0,16,0.0003,51
0217,32,2,1,2,2,0,1024,0.0002,52
0218,32,2,1,2,2,0,512,0.0002,55
0219,32,2,1,2,2,0,256,0.0002,57
0220,32,2,1,2,2,0,128,0.0002,59
0221,32,2,1,2,2,0,64,0.0002,59
0222,32,2,1,2,2,0,32,0.0002,51
0223,32,2,1,2,2,0,16,0.0002,66
0224,32,2,1,2,3,0,1024,0.0003,52
0225,32,2,1,2,3,0,512,0.0003,57
0226,32,2,1,2,3,0,256,0.0003,56
0227,32,2,1,2,3,0,128,0.0003,59
0228,32,2,1,2,3,0,64,0.0003,62
0229,32,2,1,2,3,0,32,0.0003,61
0230,32,2,1,2,3,0,16,0.0003,65
0231,32,2,1,3,1,0,1024,0.0003,55
0232,32,2,1,3,1,0,512,0.0003,42
0233,32,2,1,3,1,0,256,0.0004,48
0234,32,2,1,3,1,0,128,0.0004,44
0235,32,2,1,3,1,0,64,0.0003,42
0236,32,2,1,3,1,0,32,0.0003,48
0237,32,2,1,3,1,0,16,0.0004,48
0238,32,2,1,3,2,0,1024,0.0002,51
0239,32,2,1,3,2,0,512,0.0002,38
0240,32,2,1,3,2,0,256,0.0002,41
0241,32,2,1,3,2,0,128,0.0002,41
0242,32,2,1,3,2,0,64,0.0002,43
0243,32,2,1,3,2,0,32,0.0002,36
0244,32,2,1,3,2,0,16,0.0002,47
0245,32,2,1,3,3,0,1024,0.0003,50
0246,32,2,1,3,3,0,512,0.0003,50
0247,32,2,1,3,3,0,256,0.0003,52
0248,32,2,1,3,3,0,128,0.0003,51
0249,32,2,1,3,3,0,64,0.0003,52
0250,32,2,1,3,3,0,32,0.0003,52
0251,32,2,1,3,3,0,16,0.0003,54
0252,32,2,2,1,1,0,1024,0.0003,47
0253,32,2,2,1,1,0,512,0.0003,48
0254,32,2,2,1,1,0,256,0.0003,42
0255,32,2,2,1,1,0,128,0.0003,48
0256,32,2,2,1,1,0,64,0.0003,44
0257,32,2,2,1,1,0,32,0.0002,41
0258,32,2,2,1,1,0,16,0.0003,47
0259,32,2,2,1,2,0,1024,0.0002,45
0260,32,2,2,1,2,0,512,0.0002,47
0261,32,2,2,1,2,0,256,0.0002,59
0262,32,2,2,1,2,0,128,0.0002,56
0263,32,2,2,1,2,0,64,0.0002,49
0264,32,2,2,1,2,0,32,0.0002,55
0265,32,2,2,1,2,0,16,0.0002,41
0266,32,2,2,1,3,0,1024,0.0003,48
0267,32,2,2,1,3,0,512,0.0003,62
0268,32,2,2,1,3,0,256,0.0003,58
0269,32,2,2,1,3,0,128,0.0003,63
0270,32,2,2,1,3,0,64,0.0003,70
0271,32,2,2,1,3,0,32,0.0003,70
0272,32,2,2,1,3,0,16,0.0003,59
0273,32,2,2,2,1,0,1024,0.0003,57
0274,32,2,2,2,1,0,512,0.0003,41
0275,32,2,2,2,1,0,256,0.0003,40
0276,32,2,2,2,1,0,128,0.0003,42
0277,32,2,2,2,1,0,64,0.0004,41
0278,32,2,2,2,1,0,32,0.0003,43
0279,32,2,2,2,1,0,16,0.0003,55
0280,32,2,2,2,2,0,1024,0.0002,40
0281,32,2,2,2,2,0,512,0.0002,38
0282,32,2,2,2,2,0,256,0.0002,38
0283,32,2,2,2,2,0,128,0.0002,39
0284,32,2,2,2,2,0,64,0.0002,45
0285,32,2,2,2,2,0,32,0.0002,38
0286,32,2,2,2,2,0,16,0.0002,44
0287,32,2,2,2,3,0,1024,0.0003,61
0288,32,2,2,2,3,0,512,0.0003,49
0289,32,2,2,2,3,0,256,0.0003,49
0290,32,2,2,2,3,0,128,0.0003,43
0291,32,2,2,2,3,0,64,0.0004,49
0292,32,2,2,2,3,0,32,0.0003,50
0293,32,2,2,2,3,0,16,0.0003,57
0294,32,2,2,3,1,0,1024,0.0003,55
0295,32,2,2,3,1,0,512,0.0003,46
0296,32,2,2,3,1,0,256,0.0003,45
0297,32,2,2,3,1,0,128,0.0003,42
0298,32,2,2,3,1,0,64,0.0003,43
0299,32,2,2,3,1,0,32,0.0003,41
0300,32,2,2,3,1,0,16,0.0004,48
0301,32,2,2,3,2,0,1024,0.0002,41
0302,32,2,2,3,2,0,512,0.0002,42
0303,32,2,2,3,2,0,256,0.0003,43
0304,32,2,2,3,2,0,128,0.0003,41
0305,32,2,2,3,2,0,64,0.0003,46
0306,32,2,2,3,2,0,32,0.0003,46
0307,32,2,2,3,2,0,16,0.0003,45
0308,32,2,2,3,3,0,1024,0.0003,58
0309,32,2,2,3,3,0,512,0.0003,58
