n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0129,16,1,2,3,2,16,0,0.000073,682,4175,1368,0,0
0130,16,1,2,3,3,1,0,0.000083,327,1756,929,0,0
0131,16,1,2,3,3,2,0,0.000101,566,2798,1369,0,0
0132,16,1,2,3,3,4,0,0.000100,501,3095,1473,0,0
0133,16,1,2,3,3,8,0,0.000109,517,3094,1615,0,0
0134,16,1,2,3,3,16,0,0.000075,716,4635,1514,0,0
0135,16,1,2,3,4,1,0,0.000080,317,1724,898,0,0
0136,16,1,2,3,4,2,0,0.000105,470,1980,1416,0,0
0137,16,1,2,3,4,4,0,0.000100,439,2399,1460,0,0
0138,16,1,2,3,4,8,0,0.000102,464,2742,1611,0,0
0139,16,1,2,3,4,16,0,0.000074,604,3775,1367,0,0
0140,16,1,2,4,1,1,0,0.000112,356,1932,1067,0,0
0141,16,1,2,4,1,2,0,0.000147,566,2911,1506,0,0
0142,16,1,2,4,1,4,0,0.000122,621,3693,1923,0,0
0143,16,1,2,4,1,8,0,0.000112,556,3385,1919,0,0
0144,16,1,2,4,1,16,0,0.000118,725,4814,1451,0,0
0145,16,1,2,4,2,1,0,0.000109,361,1960,1051,0,0
0146,16,1,2,4,2,2,0,0.000142,552,2818,1505,0,0
0147,16,1,2,4,2,4,0,0.000134,594,3700,1923,0,0
0148,16,1,2,4,2,8,0,0.000111,522,3198,1903,0,0
0149,16,1,2,4,2,16,0,0.000115,731,4681,1427,0,0
0150,16,1,2,4,3,1,0,0.000111,335,1888,1077,0,0
0151,16,1,2,4,3,2,0,0.000150,548,3085,1448,0,0
0152,16,1,2,4,3,4,0,0.000119,566,3515,1934,0,0
0153,16,1,2,4,3,8,0,0.000113,575,3226,1915,0,0
0154,16,1,2,4,3,16,0,0.000120,748,4960,1495,0,0
0155,16,1,2,4,4,1,0,0.000109,358,1869,1038,0,0
0156,16,1,2,4,4,2,0,0.000145,541,2814,1500,0,0
0157,16,1,2,4,4,4,0,0.000120,504,3001,1530,0,0
0158,16,1,2,4,4,8,0,0.000099,490,2872,1902,0,0
0159,16,1,2,4,4,16,0,0.000114,678,4545,1413,0,0
0160,16,1,3,1,1,1,0,0.000060,269,1403,834,0,0
0161,16,1,3,1,1,2,0,0.000055,424,2199,1336,0,0
0162,16,1,3,1,1,4,0,0.000056,422,2666,1374,0,0
0163,16,1,3,1,1,8,0,0.000058,482,3035,1536,0,0
0164,16,1,3,1,1,16,0,0.000038,338,1977,1232,0,0
0165,16,1,3,1,2,1,0,0.000057,254,1427,817,0,0
0166,16,1,3,1,2,2,0,0.000063,381,1653,1325,0,0
0167,16,1,3,1,2,4,0,0.000067,376,2506,1371,0,0
0168,16,1,3,1,2,8,0,0.000060,428,2849,1521,0,0
0169,16,1,3,1,2,16,0,0.000041,305,1913,1219,0,0
0170,16,1,3,1,3,1,0,0.000061,262,1393,836,0,0
0171,16,1,3,1,3,2,0,0.000065,490,2444,1270,0,0
0172,16,1,3,1,3,4,0,0.000062,388,2492,1381,0,0
0173,16,1,3,1,3,8,0,0.000061,466,2877,1524,0,0
0174,16,1,3,1,3,16,0,0.000038,427,2587,1449,0,0
0175,16,1,3,1,4,1,0,0.000057,249,1361,811,0,0
0176,16,1,3,1,4,2,0,0.000065,399,1649,1323,0,0
0177,16,1,3,1,4,4,0,0.000066,342,1980,1371,0,0
0178,16,1,3,1,4,8,0,0.000060,419,2846,1521,0,0
0179,16,1,3,1,4,16,0,0.000036,292,1838,1217,0,0
0180,16,1,3,2,1,1,0,0.000082,250,1332,878,0,0
0181,16,1,3,2,1,2,0,0.000114,397,2273,1343,0,0
0182,16,1,3,2,1,4,0,0.000083,395,2385,1763,0,0
0183,16,1,3,2,1,8,0,0.000084,430,2489,1788,0,0
0184,16,1,3,2,1,16,0,0.000071,465,2707,1244,0,0
0185,16,1,3,2,2,1,0,0.000079,243,1267,861,0,0
0186,16,1,3,2,2,2,0,0.000114,361,1658,1340,0,0
0187,16,1,3,2,2,4,0,0.000087,394,2416,1760,0,0
0188,16,1,3,2,2,8,0,0.000083,379,2272,1781,0,0
0189,16,1,3,2,2,16,0,0.000069,480,2711,1235,0,0
0190,16,1,3,2,3,1,0,0.000082,263,1356,880,0,0
0191,16,1,3,2,3,2,0,0.000137,485,2661,1281,0,0
0192,16,1,3,2,3,4,0,0.000081,415,2389,1770,0,0
0193,16,1,3,2,3,8,0,0.000096,437,2484,1785,0,0
0194,16,1,3,2,3,16,0,0.000072,491,2897,1467,0,0
0195,16,1,3,2,4,1,0,0.000083,237,1239,855,0,0
0196,16,1,3,2,4,2,0,0.000106,375,1724,1338,0,0
0197,16,1,3,2,4,4,0,0.000084,347,1781,1376,0,0
0198,16,1,3,2,4,8,0,0.000084,367,2271,1780,0,0
0199,16,1,3,2,4,16,0,0.000068,407,2604,1227,0,0
0200,16,1,3,3,1,1,0,0.000132,313,1712,928,0,0
0201,16,1,3,3,1,2,0,0.000179,514,2773,1438,0,0
0202,16,1,3,3,1,4,0,0.000186,505,3031,1470,0,0
0203,16,1,3,3,1,8,0,0.000181,596,3529,1631,0,0
0204,16,1,3,3,1,16,0,0.000115,693,4429,1380,0,0
0205,16,1,3,3,2,1,0,0.000132,298,1635,911,0,0
0206,16,1,3,3,2,2,0,0.000195,535,2274,1426,0,0
0207,16,1,3,3,2,4,0,0.000190,447,2814,1466,0,0
0208,16,1,3,3,2,8,0,0.000199,525,3232,1615,0,0
0209,16,1,3,3,2,16,0,0.000112,665,4342,1375,0,0
0210,16,1,3,3,3,1,0,0.000141,416,2289,930,0,0
0211,16,1,3,3,3,2,0,0.000178,659,3003,1300,0,0
0212,16,1,3,3,3,4,0,0.000167,469,2918,1406,0,0
0213,16,1,3,3,3,8,0,0.000184,533,3259,1550,0,0
0214,16,1,3,3,3,16,0,0.000111,720,4408,1503,0,0
0215,16,1,3,3,4,1,0,0.000133,320,1677,905,0,0
0216,16,1,3,3,4,2,0,0.000185,566,2304,1424,0,0
0217,16,1,3,3,4,4,0,0.000189,439,2384,1466,0,0
0218,16,1,3,3,4,8,0,0.000202,527,3141,1615,0,0
0219,16,1,3,3,4,16,0,0.000112,623,3989,1363,0,0
0220,16,1,3,4,1,1,0,0.000198,398,2177,1006,0,0
0221,16,1,3,4,1,2,0,0.000244,627,3146,1520,0,0
0222,16,1,3,4,1,4,0,0.000198,645,3713,1890,0,0
