Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Parameter3,FF_Value,Flow
Throughput,2.575003411879521,vivado,BRAM,2,FF,11122,None
Throughput,2.4757255113611043,vivado,CLB,3037,FF,11125,None
Throughput,2.4757255113611043,vivado,LUT,16004,FF,11125,None
Throughput,2.4757255113611043,vivado,FF,11125,FF,11125,None
Throughput,2.4757255113611043,vivado,DSP,108,FF,11125,None
Throughput,2.4757255113611043,vivado,BRAM,2,FF,11125,None
Throughput,2.5463434508046445,vivado,CLB,3692,FF,11159,None
Throughput,2.5463434508046445,vivado,LUT,20013,FF,11159,None
Throughput,2.5463434508046445,vivado,FF,11159,FF,11159,None
Throughput,2.5463434508046445,vivado,DSP,108,FF,11159,None
Throughput,2.5463434508046445,vivado,BRAM,2,FF,11159,None
Throughput,2.6408078759454092,vivado,CLB,4547,FF,11246,None
Throughput,2.6408078759454092,vivado,LUT,26033,FF,11246,None
Throughput,2.6408078759454092,vivado,FF,11246,FF,11246,None
Throughput,2.6408078759454092,vivado,DSP,108,FF,11246,None
Throughput,2.6408078759454092,vivado,BRAM,2,FF,11246,None
Throughput,2.4975835878787276,vivado,CLB,6333,FF,11437,None
Throughput,2.4975835878787276,vivado,LUT,39121,FF,11437,None
Throughput,2.4975835878787276,vivado,FF,11437,FF,11437,None
Throughput,2.4975835878787276,vivado,DSP,108,FF,11437,None
Throughput,2.4975835878787276,vivado,BRAM,2,FF,11437,None
Throughput,2.6673993123444575,vivado,CLB,2921,FF,12980,None
Throughput,2.6673993123444575,vivado,LUT,14444,FF,12980,None
Throughput,2.6673993123444575,vivado,FF,12980,FF,12980,None
Throughput,2.6673993123444575,vivado,DSP,102,FF,12980,None
Throughput,2.6673993123444575,vivado,BRAM,2,FF,12980,None
Throughput,2.708067604199671,vivado,CLB,3208,FF,12962,None
Throughput,2.708067604199671,vivado,LUT,16169,FF,12962,None
Throughput,2.708067604199671,vivado,FF,12962,FF,12962,None
Throughput,2.708067604199671,vivado,DSP,132,FF,12962,None
Throughput,2.708067604199671,vivado,BRAM,2,FF,12962,None
Throughput,2.8024549505366703,vivado,CLB,3353,FF,12947,None
Throughput,2.8024549505366703,vivado,LUT,17060,FF,12947,None
Throughput,2.8024549505366703,vivado,FF,12947,FF,12947,None
Throughput,2.8024549505366703,vivado,DSP,132,FF,12947,None
Throughput,2.8024549505366703,vivado,BRAM,2,FF,12947,None
Throughput,2.5338715276458053,vivado,CLB,3598,FF,12958,None
Throughput,2.5338715276458053,vivado,LUT,19102,FF,12958,None
Throughput,2.5338715276458053,vivado,FF,12958,FF,12958,None
Throughput,2.5338715276458053,vivado,DSP,132,FF,12958,None
Throughput,2.5338715276458053,vivado,BRAM,2,FF,12958,None
Throughput,2.7858645234082267,vivado,CLB,4350,FF,13000,None
Throughput,2.7858645234082267,vivado,LUT,23779,FF,13000,None
Throughput,2.7858645234082267,vivado,FF,13000,FF,13000,None
Throughput,2.7858645234082267,vivado,DSP,132,FF,13000,None
Throughput,2.7858645234082267,vivado,BRAM,2,FF,13000,None
Throughput,2.580665140633347,vivado,CLB,5426,FF,13076,None
Throughput,2.580665140633347,vivado,LUT,31404,FF,13076,None
Throughput,2.580665140633347,vivado,FF,13076,FF,13076,None
Throughput,2.580665140633347,vivado,DSP,132,FF,13076,None
Throughput,2.580665140633347,vivado,BRAM,2,FF,13076,None
Throughput,2.215487141312632,vivado,CLB,7583,FF,13302,None
Throughput,2.215487141312632,vivado,LUT,47679,FF,13302,None
Throughput,2.215487141312632,vivado,FF,13302,FF,13302,None
Throughput,2.215487141312632,vivado,DSP,132,FF,13302,None
