n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0206,4,1,3,1,16,2,0.000551,1207,6130,4067,16,16
0207,4,1,3,1,16,4,0.000568,1287,6297,4838,16,16
0208,4,1,3,1,32,2,0.000561,1658,8757,4121,16,16
0209,4,1,3,1,32,4,0.000610,1784,8925,4892,16,16
0210,4,1,3,2,2,2,0.000552,1259,5980,4699,28,28
0211,4,1,3,2,2,4,0.000542,1313,5973,4705,28,28
0212,4,1,3,2,4,2,0.000609,1280,6000,4670,28,28
0213,4,1,3,2,4,4,0.000529,1216,6018,4675,28,28
0214,4,1,3,2,8,2,0.000569,1408,6977,4688,28,28
0215,4,1,3,2,8,4,0.000546,1373,6993,4694,28,28
0216,4,1,3,2,16,2,0.000509,1696,8946,4707,28,28
0217,4,1,3,2,16,4,0.000492,1661,8960,4713,28,28
0218,4,1,3,2,32,2,0.000495,2588,13427,4789,28,28
0219,4,1,3,2,32,4,0.000520,2522,13469,4798,28,28
0220,4,1,3,3,2,2,0.000597,1751,8126,6478,34,34
0221,4,1,3,3,2,4,0.000601,1655,7472,6019,37,37
0222,4,1,3,3,4,2,0.000570,1629,8030,6098,34,34
0223,4,1,3,3,4,4,0.000550,1480,7197,5257,37,37
0224,4,1,3,3,8,2,0.000716,1871,9389,6120,34,34
0225,4,1,3,3,8,4,0.000577,1715,8660,5282,37,37
0226,4,1,3,3,16,2,0.000567,2234,11883,6203,34,34
0227,4,1,3,3,16,4,0.000563,2089,11189,5305,37,37
0228,4,1,3,3,32,2,0.000630,3585,19055,6265,34,34
0229,4,1,3,3,32,4,0.000559,3462,18339,5445,37,37
0230,4,1,3,4,2,2,0.000490,875,3962,2561,41,41
0231,4,1,3,4,2,4,0.000490,875,3962,2561,41,41
0232,4,1,3,4,4,2,0.000500,965,4755,2558,41,41
0233,4,1,3,4,4,4,0.000500,965,4755,2558,41,41
0234,4,1,3,4,8,2,0.000490,1262,6583,2592,41,41
0235,4,1,3,4,8,4,0.000490,1262,6583,2592,41,41
0236,4,1,3,4,16,2,0.000483,1708,10189,2135,41,41
0237,4,1,3,4,16,4,0.000485,1702,10187,2135,41,41
0238,4,1,3,4,32,2,0.000522,3438,19376,2338,41,41
0239,4,1,3,4,32,4,0.000522,3438,19376,2338,41,41
0240,4,1,4,1,2,2,0.000752,1169,5529,4811,19,19
0241,4,1,4,1,2,4,0.000916,1348,5870,5850,19,19
0242,4,1,4,1,4,2,0.000774,1218,5685,4760,19,19
0243,4,1,4,1,4,4,0.000831,1292,5916,5791,19,19
0244,4,1,4,1,8,2,0.000769,1318,6388,4776,19,19
0245,4,1,4,1,8,4,0.000822,1445,6608,5808,19,19
0246,4,1,4,1,16,2,0.000755,1500,7759,4796,19,19
0247,4,1,4,1,16,4,0.000834,1641,7974,5827,19,19
0248,4,1,4,1,32,2,0.000760,2170,11067,4868,19,19
0249,4,1,4,1,32,4,0.000804,2306,11405,5898,19,19
0250,4,1,4,2,2,2,0.000695,1502,7068,5535,34,34
0251,4,1,4,2,2,4,0.000675,1598,7061,5543,34,34
0252,4,1,4,2,4,2,0.000692,1473,7174,5490,34,34
0253,4,1,4,2,4,4,0.000646,1436,7198,5498,34,34
0254,4,1,4,2,8,2,0.000686,1682,8396,5513,34,34
0255,4,1,4,2,8,4,0.000744,1687,8426,5522,34,34
0256,4,1,4,2,16,2,0.000722,2066,10961,5540,34,34
0257,4,1,4,2,16,4,0.000666,2008,10957,5548,34,34
0258,4,1,4,2,32,2,0.000722,3374,17306,5675,34,34
0259,4,1,4,2,32,4,0.000744,3285,17225,5784,34,34
0260,4,1,4,3,2,2,0.000855,2212,10148,7926,43,43
0261,4,1,4,3,2,4,0.000926,1971,8977,7327,46,46
0262,4,1,4,3,4,2,0.000928,2084,9858,7409,43,43
0263,4,1,4,3,4,4,0.000787,1760,8751,6299,46,46
0264,4,1,4,3,8,2,0.000833,2344,11715,7507,43,43
0265,4,1,4,3,8,4,0.000755,2041,10528,6331,46,46
0266,4,1,4,3,16,2,0.000789,2813,15308,7469,43,43
0267,4,1,4,3,16,4,0.000851,2618,14207,6440,46,46
0268,4,1,4,3,32,2,0.000832,4714,24832,7681,43,43
0269,4,1,4,3,32,4,0.000814,4429,23396,6609,46,46
0270,4,1,4,4,2,2,0.000748,1123,5084,3127,53,53
0271,4,1,4,4,2,4,0.000748,1123,5084,3127,53,53
0272,4,1,4,4,4,2,0.000672,1230,6072,3113,53,53
0273,4,1,4,4,4,4,0.000672,1230,6072,3113,53,53
0274,4,1,4,4,8,2,0.000740,1489,8443,2538,53,53
0275,4,1,4,4,8,4,0.000740,1489,8443,2538,53,53
0276,4,1,4,4,16,2,0.000661,2199,13218,2588,53,53
0277,4,1,4,4,16,4,0.000661,2199,13218,2588,53,53
0278,4,1,4,4,32,2,0.000762,4458,25198,2932,53,53
0279,4,1,4,4,32,4,0.000762,4458,25198,2932,53,53
0280,4,2,1,1,2,2,0.000188,668,3166,3236,11,11
0281,4,2,1,1,2,4,0.000186,631,3029,3232,11,11
0282,4,2,1,1,4,2,0.000189,714,3417,3402,11,11
0283,4,2,1,1,4,4,0.000196,783,3550,3917,11,11
0284,4,2,1,1,8,2,0.000180,803,3993,3540,11,11
0285,4,2,1,1,8,4,0.000198,865,4080,4050,11,11
0286,4,2,1,1,16,2,0.000189,961,4906,3805,11,11
0287,4,2,1,1,16,4,0.000202,1047,4996,4316,11,11
0289,4,2,1,1,32,4,0.000221,1538,7254,4869,11,11
0290,4,2,1,2,2,2,0.000181,839,4000,3448,17,17
0291,4,2,1,2,2,4,0.000168,858,4158,3455,17,17
0292,4,2,1,2,4,2,0.000170,889,4280,3616,17,17
0293,4,2,1,2,4,4,0.000167,876,4327,3622,17,17
0294,4,2,1,2,8,2,0.000173,1036,5067,3755,17,17
0295,4,2,1,2,8,4,0.000174,1010,5121,3760,17,17
0296,4,2,1,2,16,2,0.000171,1241,6587,4022,17,17
0297,4,2,1,2,16,4,0.000175,1244,6641,4027,17,17
0298,4,2,1,2,32,2,0.000165,1980,10240,4580,17,17
0300,4,2,1,3,2,2,0.000210,1201,5925,5123,25,25
0301,4,2,1,3,2,4,0.000193,1079,4887,4606,26,26
0302,4,2,1,3,4,2,0.000207,1206,5861,5054,25,25
0303,4,2,1,3,4,4,0.000172,1037,4864,4311,26,26
0304,4,2,1,3,8,2,0.000178,1350,6882,5193,25,25
0305,4,2,1,3,8,4,0.000177,1185,5907,4447,26,26
0306,4,2,1,3,16,2,0.000179,1692,8971,5463,25,25
0307,4,2,1,3,16,4,0.000193,1482,8006,4712,26,26
0308,4,2,1,3,32,2,0.000176,2753,14279,6054,25,25
0309,4,2,1,3,32,4,0.000175,2543,13142,5296,26,26
0310,4,2,1,4,2,2,0.000136,679,3261,2093,29,29
0311,4,2,1,4,2,4,0.000136,679,3261,2093,29,29
0312,4,2,1,4,4,2,0.000159,776,3798,2271,29,29
0313,4,2,1,4,4,4,0.000159,776,3798,2271,29,29
0314,4,2,1,4,8,2,0.000140,978,5119,2418,29,29
0315,4,2,1,4,8,4,0.000140,978,5119,2418,29,29
0316,4,2,1,4,16,2,0.000141,1323,7652,2329,29,29
0317,4,2,1,4,16,4,0.000139,1323,7654,2329,29,29
0318,4,2,1,4,32,2,0.000154,2593,14147,2949,29,29
0319,4,2,1,4,32,4,0.000154,2593,14147,2949,29,29
0320,4,2,2,1,2,2,0.000394,1304,6043,5472,19,19
0321,4,2,2,1,2,4,0.000399,1366,6329,6504,19,19
0322,4,2,2,1,4,2,0.000363,1262,6223,5597,19,19
0323,4,2,2,1,4,4,0.000389,1370,6526,6628,19,19
0324,4,2,2,1,8,2,0.000408,1501,6934,5741,19,19
0325,4,2,2,1,8,4,0.000418,1498,7246,6769,19,19
0326,4,2,2,1,16,2,0.000389,1706,8424,6020,19,19
0327,4,2,2,1,16,4,0.000405,1708,8770,7046,19,19
0328,4,2,2,1,32,2,0.000384,2393,12212,6595,19,19
0329,4,2,2,1,32,4,0.000420,2546,12550,7624,19,19
0330,4,2,2,2,2,2,0.000375,1637,7176,6195,34,34
0331,4,2,2,2,2,4,0.000368,1600,7422,6203,34,34
